# File: A_building_shell_size.csv,,,,,,,,,,,,,,,,,,,
# Title: Building shell conductance or base size overwrite,,,,,,,,,,,,,,,,,,,
# Units: Unitless,,,,,,,,,,,,,,,,,,,
# Column types: ccccnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,
xml,region,gcam.consumer,variable,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_shell_ff55mixscn.xml,Estonia,resid EUR_d10,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Estonia,resid EUR_d2,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Estonia,resid EUR_d3,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Estonia,resid EUR_d4,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Estonia,resid EUR_d5,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Estonia,resid EUR_d6,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Estonia,resid EUR_d7,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Estonia,resid EUR_d8,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Estonia,resid EUR_d9,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Finland,resid EUR_d1,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Finland,resid EUR_d10,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Finland,resid EUR_d2,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Finland,resid EUR_d3,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Finland,resid EUR_d4,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Finland,resid EUR_d5,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Finland,resid EUR_d6,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Finland,resid EUR_d7,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Finland,resid EUR_d8,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Finland,resid EUR_d9,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,France,resid EUR_d1,shell.conductance,0.945593678,0.911173222,0.898101999,0.885030872,0.871959649,0.858888426,,,,,,,,,,
policy_shell_ff55mixscn.xml,France,resid EUR_d10,shell.conductance,0.945593678,0.911173222,0.888824732,0.86647634,0.844127949,0.821779558,,,,,,,,,,
policy_shell_ff55mixscn.xml,France,resid EUR_d2,shell.conductance,0.945593678,0.911173222,0.895952082,0.880730845,0.865509705,0.850288468,,,,,,,,,,
policy_shell_ff55mixscn.xml,France,resid EUR_d3,shell.conductance,0.945593678,0.911173222,0.894854099,0.878534879,0.862215756,0.845896536,,,,,,,,,,
policy_shell_ff55mixscn.xml,France,resid EUR_d4,shell.conductance,0.945593678,0.911173222,0.894079717,0.876986309,0.859892901,0.842799396,,,,,,,,,,
