# File: A_Shareweights.csv,,,,,,,,,,,,,,,,,,,,
# Title: Shareweight Overwrites,,,,,,,,,,,,,,,,,,,,
# Units: NA,,,,,,,,,,,,,,,,,,,,
# Comments: Will write the last year forward to 2100,,,,,,,,,,,,,,,,,,,,
# Column types: cccccnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,
xml,region,supplysector,subsector,stub.technology,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_fuelst_mkt_eu_shwts.xml,Germany,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Germany,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Germany,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Germany,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Germany,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Germany,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Germany,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Greece,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Greece,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Greece,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Greece,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Greece,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Greece,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Greece,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Greece,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Greece,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Greece,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Greece,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Greece,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Greece,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Greece,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Greece,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Greece,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Hungary,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Hungary,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Hungary,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Hungary,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Hungary,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Hungary,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Hungary,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Hungary,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Hungary,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Hungary,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Hungary,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Ireland,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Ireland,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Ireland,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Ireland,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Ireland,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Ireland,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Ireland,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Ireland,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Ireland,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Ireland,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Ireland,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Ireland,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Ireland,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Ireland,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Ireland,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Ireland,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Latvia,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Latvia,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Latvia,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Latvia,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Latvia,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Latvia,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Latvia,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Latvia,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Latvia,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Latvia,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Latvia,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Latvia,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Latvia,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Latvia,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Latvia,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Latvia,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Italy,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Italy,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Italy,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Italy,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Italy,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Italy,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Italy,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Italy,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Italy,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Italy,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Italy,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Italy,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Italy,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Italy,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Italy,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Italy,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Lithuania,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Lithuania,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Lithuania,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Lithuania,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Lithuania,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Lithuania,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Lithuania,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Lithuania,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Lithuania,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Lithuania,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Lithuania,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Lithuania,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Lithuania,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Lithuania,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Lithuania,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Lithuania,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Luxembourg,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Luxembourg,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Luxembourg,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Luxembourg,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Luxembourg,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Luxembourg,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Luxembourg,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Luxembourg,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Luxembourg,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Luxembourg,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Luxembourg,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Luxembourg,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Luxembourg,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Luxembourg,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Luxembourg,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Luxembourg,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Malta,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Malta,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Malta,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Malta,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Malta,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Malta,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Malta,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Malta,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Malta,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Malta,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Malta,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Malta,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Malta,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Malta,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Malta,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Malta,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Netherlands,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Netherlands,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Netherlands,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Netherlands,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Netherlands,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Netherlands,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Netherlands,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Netherlands,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Netherlands,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Netherlands,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Netherlands,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Netherlands,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Netherlands,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Netherlands,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Netherlands,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Netherlands,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Poland,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Poland,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Poland,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Poland,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Poland,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Poland,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Poland,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Poland,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Poland,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Poland,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Poland,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Portugal,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Portugal,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Portugal,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Portugal,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Portugal,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Portugal,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Portugal,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Portugal,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Portugal,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Portugal,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Portugal,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Portugal,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Portugal,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Portugal,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Portugal,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Portugal,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Romania,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Romania,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Romania,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Romania,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Romania,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Romania,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Romania,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Romania,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Romania,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Romania,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Romania,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Slovakia,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Slovakia,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Slovakia,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Slovakia,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Slovakia,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Slovakia,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Slovakia,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Slovakia,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Slovakia,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Slovakia,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Slovakia,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Slovenia,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Slovenia,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
