# File: A_renewable_energy_standards.csv,,,,,,,,,,,,,,,,,,,,,,,
# Title: Policy RES coefficients; outputs; and price multipliers,,,,,,,,,,,,,,,,,,,,,,,
# Units: Varied,,,,,,,,,,,,,,,,,,,,,,,
# Comment: policy.portfolio standard is just name of policy; variable can either be 'input-coef' to define the target or 'pMultiplier' to define price multiplier,,,,,,,,,,,,,,,,,,,,,,,
# Comment: tech_mapping defines the technologies with the policy as an input; sec.out is the set of technologies that output the policy,,,,,,,,,,,,,,,,,,,,,,,
# Comment: sec.out.type defines the output ratio for the sec.out technologies; 'standard' is 1; 'electricity' is based on the coefficients (losses); 'fossil.conv' is 1 divided by efficiency,,,,,,,,,,,,,,,,,,,,,,,
# Comment: note the RES input coefficients for heat pump will be multiplied by calculated ambient heat efficiency,,,,,,,,,,,,,,,,,,,,,,,
# Column types: cccccccnnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,
xml,market,policy.portfolio.standard,variable,tech_mapping,sec.out,sec.out.type,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_biofuel_saf,South Africa,biofuel-target,input-coefficient,REF_LIQ_TRN,BIOFUEL_NODIESEL,standard,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
policy_biofuel_saf,South Africa,biodiesel-target,input-coefficient,REF_LIQ_TRN,BIODIESEL,standard,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008
policy_res_saf,South Africa,RES-target,input-coefficient,ELEC_RES,EN_CARRIER_ELEC,electricity,0.1,0.18,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263
policy_biofuel_kor,South Korea,biodiesel-target,input-coefficient,REF_LIQ_TRN,BIODIESEL,standard,0.013,0.013,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
policy_res_kor,South Korea,RES-target,input-coefficient,ELEC_RES,EN_CARRIER_ELEC,electricity,0.06,0.1,0.2,0.25,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
policy_res_usa,USA,RES-target,input-coefficient,ELEC_RES,EN_CARRIER_ELEC,electricity,0.2,0.295,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345
policy_tpesRES_eu,EU,TPES_RES_OLD,input-coefficient,PRIMARY_ENERGY,TPES_RENEWABLE,standard,0.2,0.3125,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
policy_tpesRES_eu,EU,TPES_RES_OLD,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.2,0.3125,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
policy_tpesRES_eu_UPDATE,EU,TPES_RES,input-coefficient,PRIMARY_ENERGY_FOSSIL,TPES_RENEWABLE_FEEDSTOCKSRL,standard,0.25,0.454545455,0.739130435,0.739130435,0.739130435,0.739130435,0.739130435,0.739130435,0.739130435,0.739130435,0.739130435,0.739130435,0.739130435,0.739130435,0.739130435,0.739130435,0.739130435
policy_tpesRES_eu_UPDATE,EU,TPES_RES,pMultiplier,FEEDSTOCKSRL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
policy_feres_eu,EU,FE_RES,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.21,0.3,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
policy_feres_eu,EU,FE_RES,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.21,0.3,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
policy_feres_eu,EU,FE_RES,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.21,0.3,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
policy_feres_eu_necp,Austria,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.34542112,0.440553213,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112
policy_feres_eu_necp,Belgium,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.131841436,0.174526553,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436
policy_feres_eu_necp,Bulgaria,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.219178487,0.279897092,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487
policy_feres_eu_necp,Croatia,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.324749943,0.377594594,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943
policy_feres_eu_necp,Cyprus,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.208342233,0.277734326,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233
policy_feres_eu_necp,Czech Republic,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.175855964,0.23058015,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964
policy_feres_eu_necp,Denmark,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.401665208,0.46689637,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208
policy_feres_eu_necp,Estonia,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.296351867,0.423875588,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867
policy_feres_eu_necp,Finland,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.498957823,0.579200149,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823
