# File: Rao_multimodel_income_deciles_DIAMOND.csv
# Title: Rao Income Deciles adjustes by DIAMOND HH data and GCAM-Europe regional aggregation
# Units: NA
# Description: Income shares for all GCAM regions
# Column types: nncncc 
# ----------
GCAM_region_ID,year,sce,shares,category,model
4,2015,SSP3,0.0551738832399547,d6,PCA algorithm (Two Components)
4,2015,SSP5,0.0552473613855492,d6,PCA algorithm (Two Components)
2,2015,SSP4,0.0766065434471285,d7,PCA algorithm (Two Components)
2,2015,SSP3,0.0765412607661783,d7,PCA algorithm (Two Components)
4,2015,SSP1,0.0557328068120898,d6,PCA algorithm (Two Components)
13,2015,SSP3,0.0238332924012481,d1,PCA algorithm (Two Components)
13,2015,SSP2,0.0238332924012481,d1,PCA algorithm (Two Components)
13,2015,SSP5,0.0238332924012481,d1,PCA algorithm (Two Components)
13,2015,SSP4,0.0238332924012481,d1,PCA algorithm (Two Components)
19,2015,SSP2,0.0119920484162693,d2,PCA algorithm (Two Components)
5,2015,SSP1,0.0694989562279325,d6,PCA algorithm (Two Components)
19,2015,SSP5,0.0119920484162693,d2,PCA algorithm (Two Components)
19,2015,SSP4,0.0119920484162693,d2,PCA algorithm (Two Components)
19,2015,SSP3,0.0119920484162693,d2,PCA algorithm (Two Components)
5,2015,SSP5,0.0698070194998342,d6,PCA algorithm (Two Components)
5,2015,SSP4,0.069793343361379,d6,PCA algorithm (Two Components)
5,2015,SSP2,0.0698149373935755,d6,PCA algorithm (Two Components)
5,2015,SSP3,0.0697853668996639,d6,PCA algorithm (Two Components)
24,2015,SSP1,0.0258034220743554,d2,PCA algorithm (Two Components)
12,2015,SSP5,0.0355387018624539,d3,PCA algorithm (Two Components)
12,2015,SSP3,0.0355387018624539,d3,PCA algorithm (Two Components)
12,2015,SSP4,0.0355387018624539,d3,PCA algorithm (Two Components)
12,2015,SSP2,0.0355387018624539,d3,PCA algorithm (Two Components)
12,2015,SSP1,0.0357124180013916,d3,PCA algorithm (Two Components)
9,2015,SSP4,0.0226223573590165,d2,PCA algorithm (Two Components)
9,2015,SSP2,0.0225872568732255,d2,PCA algorithm (Two Components)
9,2015,SSP5,0.0225795292609844,d2,PCA algorithm (Two Components)
9,2015,SSP3,0.022604787035347,d2,PCA algorithm (Two Components)
9,2015,SSP1,0.0222249158481277,d2,PCA algorithm (Two Components)
24,2015,SSP4,0.0261181975440395,d2,PCA algorithm (Two Components)
24,2015,SSP5,0.0261456978168792,d2,PCA algorithm (Two Components)
24,2015,SSP3,0.0261131383338269,d2,PCA algorithm (Two Components)
24,2015,SSP2,0.0261402574480466,d2,PCA algorithm (Two Components)
22,2015,SSP1,0.0229643219130572,d1,PCA algorithm (Two Components)
2,2015,SSP1,0.0999439848258258,d8,PCA algorithm (Two Components)
2,2015,SSP5,0.100341208468781,d8,PCA algorithm (Two Components)
2,2015,SSP2,0.100432689734021,d8,PCA algorithm (Two Components)
2,2015,SSP4,0.100633682175467,d8,PCA algorithm (Two Components)
2,2015,SSP3,0.100546275228757,d8,PCA algorithm (Two Components)
27,2015,SSP1,0.0145699279736534,d1,PCA algorithm (Two Components)
22,2015,SSP5,0.0243213831656895,d1,PCA algorithm (Two Components)
22,2015,SSP3,0.0243213831656895,d1,PCA algorithm (Two Components)
22,2015,SSP4,0.0243213831656895,d1,PCA algorithm (Two Components)
27,2015,SSP5,0.0148935971260803,d1,PCA algorithm (Two Components)
22,2015,SSP2,0.0243213831656895,d1,PCA algorithm (Two Components)
27,2015,SSP4,0.0148935971260803,d1,PCA algorithm (Two Components)
27,2015,SSP2,0.0148935971260803,d1,PCA algorithm (Two Components)
27,2015,SSP3,0.0148935971260803,d1,PCA algorithm (Two Components)
5,2015,SSP5,0.0868324344561057,d7,PCA algorithm (Two Components)
5,2015,SSP4,0.0868183695665985,d7,PCA algorithm (Two Components)
5,2015,SSP2,0.0868015162676097,d7,PCA algorithm (Two Components)
5,2015,SSP3,0.0867913999437557,d7,PCA algorithm (Two Components)
5,2015,SSP1,0.0876193213020306,d7,PCA algorithm (Two Components)
4,2015,SSP2,0.0758230167351426,d7,PCA algorithm (Two Components)
4,2015,SSP4,0.0759489859964486,d7,PCA algorithm (Two Components)
4,2015,SSP3,0.0757671210264763,d7,PCA algorithm (Two Components)
4,2015,SSP5,0.0761370381861284,d7,PCA algorithm (Two Components)
7,2015,SSP1,0.0148778333552644,d1,PCA algorithm (Two Components)
4,2015,SSP1,0.0761972393116216,d7,PCA algorithm (Two Components)
12,2015,SSP5,0.0444127563883691,d4,PCA algorithm (Two Components)
12,2015,SSP3,0.0444127563883691,d4,PCA algorithm (Two Components)
12,2015,SSP4,0.0444127563883691,d4,PCA algorithm (Two Components)
12,2015,SSP2,0.0444127563883691,d4,PCA algorithm (Two Components)
12,2015,SSP1,0.0444770818209589,d4,PCA algorithm (Two Components)
7,2015,SSP2,0.0150244903580014,d1,PCA algorithm (Two Components)
7,2015,SSP3,0.0150244903580014,d1,PCA algorithm (Two Components)
7,2015,SSP4,0.0150244903580014,d1,PCA algorithm (Two Components)
7,2015,SSP5,0.0150244903580014,d1,PCA algorithm (Two Components)
10,2015,SSP1,0.0243866299282105,d2,PCA algorithm (Two Components)
10,2015,SSP3,0.024065675775998,d2,PCA algorithm (Two Components)
16,2015,SSP1,0.0195615249259775,d1,PCA algorithm (Two Components)
10,2015,SSP4,0.0240078233015939,d2,PCA algorithm (Two Components)
10,2015,SSP2,0.0243209501164934,d2,PCA algorithm (Two Components)
