# File: A44.CalPrice_bld.csv
# Title: Prices by sector in the base years. Used to calibrate satiation impedance
# Units: 1975$/unit
# Source: GCAM v7.1 2015-output
# Column types: ccnnnn
# ----------
region,market,1990,2005,2010,2015
Mexico,comm cooling,8.62368,7.65609,8.23984,7.53909
Mexico,comm heating,9.71487,8.55674,12.1262,12.7065
Mexico,comm others,18.1658,15.6869,18.297,17.0473
Mexico,resid cooling modern,12.934,11.9181,12.5207,11.7907
Mexico,resid heating TradBio,2.28624,2.21562,2.17606,2.13829
Mexico,resid heating modern,7.43099,7.87644,11.6644,12.4143
Mexico,resid others TradBio,2.62974,2.55912,2.51956,2.48179
Mexico,resid others modern,13.4819,14.3228,17.4609,16.7146
Middle East,comm cooling,7.80712,7.56634,9.00794,8.91509
Middle East,comm heating,6.79649,6.80856,9.23363,8.7114
Middle East,comm others,13.0868,13.6864,18.2567,18.5165
Middle East,resid cooling modern,12.1832,12.2332,13.6311,13.4999
Middle East,resid heating TradBio,2.05499,2.23103,2.19538,2.11523
Middle East,resid heating modern,7.02255,6.65985,8.92239,8.73901
Middle East,resid others TradBio,2.39849,2.57453,2.53888,2.45873
Middle East,resid others coal,0,4.07309,4.38531,4.51305
Middle East,resid others modern,12.4528,11.7427,15.2222,15.5729
Pakistan,comm cooling,8.82739,8.02025,10.2892,9.77431
Pakistan,comm heating,6.32889,6.44292,8.42276,9.85055
Pakistan,comm others,13.9341,13.2504,17.5595,17.4428
Pakistan,resid cooling modern,13.1454,12.3076,14.6628,14.1284
Pakistan,resid heating TradBio,2.29576,2.31598,2.30212,2.29313
Pakistan,resid heating modern,6.85876,6.05935,7.20786,7.48728
Pakistan,resid others TradBio,2.63926,2.65948,2.64562,2.63663
Pakistan,resid others coal,4.26586,0,0,0
Pakistan,resid others modern,12.6684,12.9944,16.3452,16.0573
Russia,comm cooling,8.86534,8.07185,8.15547,7.88548
Russia,comm heating,4.41659,4.97379,6.27033,6.16862
Russia,comm others,7.84646,15.0164,16.9316,16.727
Russia,resid cooling modern,13.1848,12.3612,12.448,12.1677
Russia,resid heating TradBio,2.46867,2.03619,1.98531,1.95096
Russia,resid heating modern,5.61669,5.01423,6.14088,6.15745
Russia,resid others TradBio,2.81217,2.37969,2.32881,2.29446
Russia,resid others coal,4.03893,3.7852,4.09507,4.27274
Russia,resid others modern,12.7286,11.8066,13.4892,13.8391
South Africa,comm cooling,8.61107,7.88146,7.90177,7.68771
South Africa,comm heating,2.60366,3.11368,8.01656,9.10419
South Africa,comm others,17.23,15.566,16.2287,15.6066
South Africa,resid cooling modern,12.9209,12.1635,12.1846,11.9624
South Africa,resid heating TradBio,2.55109,2.31401,2.25784,2.21642
South Africa,resid heating modern,14.7945,14.4745,15.4988,15.4505
South Africa,resid others TradBio,2.89459,2.65751,2.60134,2.55992
South Africa,resid others coal,4.15255,3.9009,4.23733,4.36684
South Africa,resid others modern,18.1488,17.1318,18.2544,18.067
South America_Northern,comm cooling,7.67979,8.16343,10.4876,11.3794
South America_Northern,comm heating,8.50905,11.301,15.1302,17.8884
South America_Northern,comm others,13.0364,16.4222,22.0892,25.001
South America_Northern,resid cooling modern,11.9244,12.4445,14.8889,15.8233
South America_Northern,resid heating TradBio,2.14389,2.13669,2.20046,2.11255
South America_Northern,resid heating modern,7.80798,8.21502,13.1784,14.0306
South America_Northern,resid others TradBio,2.48739,2.48019,2.54396,2.45605
South America_Northern,resid others coal,3.88379,3.67748,3.98267,4.44109
South America_Northern,resid others modern,12.933,13.9865,20.7635,22.9627
South America_Southern,comm cooling,8.25098,7.23113,8.3128,7.76313
South America_Southern,comm heating,8.34152,9.10947,12.4234,12.7043
South America_Southern,comm others,15.9956,15.1558,18.753,17.7252
South America_Southern,resid cooling modern,12.5463,11.4842,12.6071,12.0336
South America_Southern,resid heating TradBio,2.26704,2.2032,2.21214,2.07402
South America_Southern,resid heating modern,8.11942,8.1999,11.4285,11.8715
South America_Southern,resid others TradBio,2.61054,2.5467,2.55564,2.41752
South America_Southern,resid others coal,4.08337,4.0845,0,0
South America_Southern,resid others modern,16.6581,15.0385,18.4311,17.3771
South Asia,comm cooling,8.35378,7.72035,8.71473,8.37512
South Asia,comm heating,6.80447,6.84937,9.42768,9.99099
South Asia,comm others,11.9582,13.2737,16.4305,15.9069
South Asia,resid cooling modern,12.6538,11.9963,13.0285,12.676
South Asia,resid heating TradBio,2.36053,2.3573,2.33211,2.29313
South Asia,resid heating modern,7.45182,7.21564,9.78342,9.58166
South Asia,resid others TradBio,2.70403,2.7008,2.67561,2.63663
South Asia,resid others coal,0,4.12336,4.33551,4.56048
South Asia,resid others modern,12.2673,12.3152,14.5551,14.1964
South Korea,comm cooling,7.89614,7.16905,7.18896,7.017
South Korea,comm heating,6.48635,6.98741,9.34669,9.48596
South Korea,comm others,12.2375,14.0289,14.9933,14.7579
South Korea,resid cooling modern,12.1419,11.2382,11.2193,11.0323
South Korea,resid heating TradBio,2.11409,1.75667,1.72592,1.77363
South Korea,resid heating coal,2.44789,2.3825,2.61003,2.70239
South Korea,resid heating modern,7.70914,6.55477,7.94328,8.18998
