# File: estat_nrg_d_hhq_filtered_en.csv
# Title: Disaggregated final energy consumption in households - quantities
# Units: TJ
# Source: https://ec.europa.eu/eurostat/databrowser/view/nrg_d_hhq__custom_10176508/default/table?lang=en
# Column types: cccccccnnc 
# ----------
STRUCTURE,STRUCTURE_ID,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,GE,2021,14030.100,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HR,2010,50475.800,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HR,2011,49256.455,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HR,2012,49233.936,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HR,2013,49012.200,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HR,2014,43187.190,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HR,2015,49542.156,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HR,2016,48211.600,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HR,2017,46714.912,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HR,2018,44580.704,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HR,2019,43246.690,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HR,2020,43854.201,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HR,2021,47604.500,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HU,2015,74324.999,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HU,2016,72435.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HU,2017,68661.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HU,2018,57415.331,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HU,2019,53825.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HU,2020,54118.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,HU,2021,56636.999,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,IE,2015,2588.464,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,IE,2016,2777.997,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,IE,2017,2713.681,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,IE,2018,2974.316,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,IE,2019,3152.022,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,IE,2020,3468.793,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,IE,2021,3577.480,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,IT,2015,273601.600,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,IT,2016,264701.000,
