# File: estat_nrg_ind_ahbtc_filtered_en.csv
# Title: Heat pumps - ambient heat captured by technology and climate
# Units: GWh
# Source: https://ec.europa.eu/eurostat/databrowser/view/nrg_ind_ahbtc__custom_14839308/default/table?lang=en
# Column types: ccccccnnc 
# ----------
STRUCTURE,STRUCTURE_ID,freq,hp_tech,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,TR,2011,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,TR,2012,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,TR,2013,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,TR,2014,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,TR,2015,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,TR,2016,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,TR,2017,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,TR,2018,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2004,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2005,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2006,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2007,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2008,4.158,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2009,15.455,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2010,27.543,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2011,37.375,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2012,48.136,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2013,83.863,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2014,131.834,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2015,189.145,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2016,118.331,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2017,135.7,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2018,141.366,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,UK,2019,146.769,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2004,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2005,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2006,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2007,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2008,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2009,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2010,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2011,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2012,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2013,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2014,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2015,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2016,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2017,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2018,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2019,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2020,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2021,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EC,GWH,XK,2022,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2004,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2005,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2006,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2007,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2008,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2009,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2010,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2011,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2012,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2013,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2014,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2015,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2016,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2017,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2018,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2019,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2020,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2021,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2022,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AL,2023,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2004,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2005,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2006,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2007,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2008,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2009,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2010,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2011,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2012,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2013,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2014,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2015,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2016,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2017,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2018,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2019,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2020,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2021,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2022,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,AT,2023,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2004,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2005,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2006,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2007,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2008,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2009,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2010,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2011,0,
