# File: estat_ilc_hcmh02_filtered_en.csv
# Title: Average size of dwelling by household type and degree of urbanisation
# Units: square meter
# Source: https://ec.europa.eu/eurostat/databrowser/view/ilc_hcmh02/default/table?lang=en&category=livcon.ilc.ilc_ahm.ilc_hcm
# Column types: cccccccnnc 
# ----------
STRUCTURE,STRUCTURE_ID,freq,unit,deg_urb,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,DE,2012,86.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,DK,2012,106.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,EA,2012,91.0,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,EA18,2012,90.8,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,EA19,2012,90.5,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,EE,2012,61.1,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,EL,2012,83.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,ES,2012,96.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,EU,2012,90.7,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,EU27_2007,2012,90.8,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,EU27_2020,2012,85.6,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,EU28,2012,90.7,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,FI,2012,78.1,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,FR,2012,88.0,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,HR,2012,75.9,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,HU,2012,71.5,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,IE,2012,,u
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,IS,2012,115.3,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,IT,2012,90.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,LT,2012,59.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,LU,2012,121.6,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,LV,2012,58.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,MT,2012,,u
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,NL,2012,98.8,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,NO,2012,107.9,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,PL,2012,67.6,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,PT,2012,99.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,RO,2012,41.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,SE,2012,90.5,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,SI,2012,72.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,SK,2012,82.9,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,UK,2012,,u
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,AT,2012,99.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,BE,2012,124.3,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,BG,2012,73.0,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,CH,2012,117.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,CY,2012,141.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,CZ,2012,78.0,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,DE,2012,94.3,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,DK,2012,118.1,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,EA,2012,97.1,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,EA18,2012,96.9,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,EA19,2012,96.5,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,EE,2012,66.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,EL,2012,88.6,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,ES,2012,99.1,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,EU,2012,96.4,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,EU27_2007,2012,96.5,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,EU27_2020,2012,90.7,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,EU28,2012,96.4,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,FI,2012,88.6,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,FR,2012,93.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,HR,2012,81.6,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,HU,2012,75.6,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,IE,2012,,u
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,IS,2012,130.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,IT,2012,93.6,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,LT,2012,63.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,LU,2012,131.1,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,LV,2012,62.5,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,MT,2012,,u
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,NL,2012,106.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,NO,2012,122.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,PL,2012,75.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,PT,2012,106.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,RO,2012,43.9,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,SE,2012,99.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,SI,2012,80.3,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,SK,2012,87.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,TOTAL,UK,2012,,u
