# File: A44.CalPrice_bld_EUR.csv
# Title: Prices by sector in the base years. Used to calibrate satiation impedance
# Units: 1975$/unit
# Source: GCAM v7.1 2015-output
# Column types: ccnnnnn
# ----------
region,market,1990,2005,2010,2015,2021
Bulgaria,resid hot water modern EUR,21.5127,19.8351,22.7892,21.9151,18.6172
Bulgaria,resid other appliance modern EUR,30.138,28.8911,30.1108,28.6172,24.3342
Bulgaria,resid others coal EUR,0,0,0,0,0
Bulgaria,resid others modern EUR,31.0268,28.953,29.8866,28.1658,23.754
Croatia,resid cooking coal EUR,0,0,0,0,0
Croatia,resid cooking modern EUR,14.3049,14.2144,17.5947,18.8023,16.516
Croatia,resid cooling modern EUR,17.2582,15.8548,16.0411,15.4601,14.0072
Croatia,resid heating coal EUR,3.85939,3.7132,4.32571,4.05829,3.93276
Croatia,resid heating modern EUR,7.01196,6.95518,7.84617,7.68869,7.3934
Croatia,resid hot water coal EUR,3.5111,3.30059,4.18259,3.79752,3.61675
Croatia,resid hot water modern EUR,21.5121,17.5119,19.0712,19.2908,16.5488
Croatia,resid other appliance modern EUR,30.025,28.1975,29.3942,28.3456,24.6717
Croatia,resid others coal EUR,0,0,0,0,0
Croatia,resid others modern EUR,30.9115,28.2663,29.1842,27.9023,24.0777
Cyprus,resid cooking coal EUR,0,0,0,0,0
Cyprus,resid cooking modern EUR,11.6143,12.4994,16.2532,16.5471,14.7306
Cyprus,resid cooling modern EUR,15.4714,14.1526,14.5364,14.2521,13.146
Cyprus,resid heating coal EUR,0,0,0,0,0
Cyprus,resid heating modern EUR,8.58608,9.3141,12.0912,12.2441,10.2374
Cyprus,resid hot water coal EUR,0,0,0,0,0
Cyprus,resid hot water modern EUR,15.8045,12.4819,12.8586,12.569,12.18
Cyprus,resid other appliance modern EUR,25.3194,23.3661,25.0151,24.7413,22.0239
Cyprus,resid others coal EUR,0,0,0,0,0
Cyprus,resid others modern EUR,26.1111,23.4829,24.8792,24.383,21.5218
Czech Republic,resid cooking coal EUR,0,0,0,0,0
Czech Republic,resid cooking modern EUR,20.3784,18.2141,20.2038,20.9631,18.9579
Czech Republic,resid cooling modern EUR,17.4617,16.2694,16.7183,16.0533,15.0608
Czech Republic,resid heating coal EUR,3.65621,3.47892,4.08604,3.82472,3.79901
Czech Republic,resid heating modern EUR,7.76902,7.90608,9.09818,9.30085,8.42636
Czech Republic,resid hot water coal EUR,3.21852,2.96322,3.83748,3.46117,3.42415
Czech Republic,resid hot water modern EUR,12.057,11.9449,13.5695,14.3479,12.7755
Czech Republic,resid other appliance modern EUR,30.562,29.3745,31.3646,30.1147,27.91
Czech Republic,resid others coal EUR,0,0,0,0,0
Czech Republic,resid others modern EUR,30.9215,29.088,30.6678,29.1308,26.7713
Denmark,resid cooking coal EUR,3.04131,0,3.6635,0,0
Denmark,resid cooking modern EUR,29.8923,27.8296,27.5636,28.3333,27.2537
Denmark,resid cooling modern EUR,16.7438,15.7117,15.8115,15.8597,15.4371
Denmark,resid heating coal EUR,3.68975,0,4.12182,0,0
Denmark,resid heating modern EUR,7.2192,7.43324,8.09123,8.19556,8.76845
Denmark,resid hot water coal EUR,3.26681,0,3.889,0,0
Denmark,resid hot water modern EUR,8.48072,8.70025,9.64287,9.70393,9.73494
Denmark,resid other appliance modern EUR,30.2631,28.3657,28.0855,28.7656,27.6111
Denmark,resid others coal EUR,4.45547,0,5.2332,0,0
Denmark,resid others modern EUR,10.0653,11.1972,14.6892,16.5571,14.1508
Estonia,resid cooking coal EUR,0,0,0,0,0
