# File: JRC_trn_data.csv
# Title: JRC-specific assumptions to layer into UCD_trn_data_CORE.csv database
# Units: Various
# Column types: ccccccccnnnnnnnnnnnnnnnnnnn
# Source: The JRC Integrated Database of the European Energy System. JRC-IDEES. https://data.jrc.ec.europa.eu/collection/id-0110
# ----------
UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,Freight,Truck,Truck (>3.5t),Liquids,Liquids,energy,ktoe,2215.300319,2066.328411,2067.038618,1994.326714,1881.252645,2064.000516,1878.623246,1918.628402,2259.381038,2156.811726,2230.810817,2287.405321,2358.269686,2431.059102,2493.04405,2334.917263,2438.795354,2046.577655,1851.645539
Austria,Freight,Truck,Truck (>3.5t),Liquids,Diesel,intensity,kgoe / ktkm,68.41278133,58.30415883,53.6229839,48.51072915,52.65340192,54.51458573,48.07346521,50.46385477,58.5875152,54.3534152,53.82050366,53.06452883,51.48744437,52.5498055,52.97923901,49.69283553,48.96196254,40.96514452,38.9976104
Austria,Freight,Truck,Truck (>3.5t),Liquids,Diesel,load factor,t/movement,11.00225301,10.85204844,11.05030991,11.11554694,10.82548446,11.28180729,11.30143433,11.26914731,11.25329445,11.30376318,11.17510393,11.18715862,11.28527344,11.3176894,11.30974067,11.36250322,11.42727438,11.43241467,11.15859455
Austria,Freight,Truck,Truck (>3.5t),BEV,Electricity,energy,ktoe,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (>3.5t),BEV,Electricity,intensity,,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (>3.5t),BEV,Electricity,load factor,,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (>3.5t),FCEV,Hydrogen,energy,ktoe,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (>3.5t),FCEV,Hydrogen,intensity,,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (>3.5t),FCEV,Hydrogen,load factor,,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (>3.5t),Hybrid Liquids,Liquids,energy,ktoe,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (>3.5t),Hybrid Liquids,Liquids,intensity,,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (>3.5t),Hybrid Liquids,Liquids,load factor,,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (>3.5t),NG,Natural Gas,energy,ktoe,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (>3.5t),NG,Natural Gas,intensity,,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (>3.5t),NG,Natural Gas,load factor,,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (<3.5t),BEV,Electricity,energy,ktoe,0.006035039,0.005546595,0.006698194,0.007238175,0.010026628,0.014953447,0.023270471,0.081628157,0.131709697,0.175805568,0.232353313,0.324791089,0.382181972,0.487546528,0.61560703,0.851299953,1.699787217,2.484427325,3.629449104
Austria,Freight,Truck,Truck (<3.5t),BEV,Electricity,intensity,kgoe / ktkm,367.8483679,368.4060009,349.358469,340.5198629,324.5798374,315.4749349,310.6658769,307.3986714,308.9375208,311.5795629,315.4836265,321.4530309,324.6319648,331.2429922,343.817038,375.3045236,439.9176444,470.458622,487.5528178
Austria,Freight,Truck,Truck (<3.5t),Liquids,Gasoline,load factor,t/movement,0.053850102,0.053700097,0.053696878,0.054246808,0.05473573,0.055102756,0.055041312,0.055184907,0.055677212,0.055591979,0.055433962,0.055694526,0.05615261,0.056579328,0.056692839,0.057044111,0.057328449,0.057797205,0.058002515
Austria,Freight,Truck,Truck (<3.5t),Liquids,Diesel,load factor,t/movement,0.067846693,0.067889152,0.06797107,0.068538802,0.069020188,0.069306407,0.069594525,0.070065343,0.070117931,0.06981921,0.069717827,0.069797619,0.070099215,0.070378365,0.070287612,0.070477175,0.070359213,0.070649952,0.070609188
Austria,Freight,Truck,Truck (<3.5t),Liquids,LPG,load factor,t/movement,0.053296423,0.053095494,0.0530399,0.053530207,0.05395935,0.054267546,0.054479444,0.054896067,0.05534274,0.055535712,0.055433962,0.055638155,0.056038998,0.056407702,0.056463661,0.056756009,0.056981179,0.057388951,0.057534519
Austria,Freight,Truck,Truck (<3.5t),BEV,Electricity,load factor,t/movement,0.055542382,0.055527131,0.055519099,0.055500037,0.055484195,0.055474406,0.055469369,0.055454505,0.055438363,0.055434427,0.055433962,0.055438362,0.055452008,0.055464018,0.055466708,0.055591816,0.05548019,0.055486373,0.055487755
Austria,Freight,Truck,Truck (<3.5t),Liquids,Gasoline,energy,ktoe,28.59664165,27.05514185,25.92543185,24.14150432,23.34678965,22.7139054,23.25383667,23.16329416,22.40207434,22.88367172,23.46523255,23.00675416,23.06163434,23.58166005,23.31078118,22.71366516,22.92632333,23.86660826,24.42004505
Austria,Freight,Truck,Truck (<3.5t),Liquids,Diesel,energy,ktoe,431.946388,441.6329997,451.3819145,445.7247741,442.1162694,445.1904646,451.3144216,447.6701818,460.5805699,481.8756379,495.4952213,504.6260593,508.9198202,517.2187983,532.7242536,540.3334626,582.5536185,590.5603538,595.9747292
Austria,Freight,Truck,Truck (<3.5t),Liquids,LPG,energy,ktoe,0.297537151,0.288526011,0.286342979,0.269906581,0.252527856,0.235517381,0.217982272,0.226844882,0.241778493,0.271128331,0.28285456,0.470594035,0.481566922,0.482745034,0.523500863,0.58139911,0.633045125,0.670354998,0.688151715
Austria,Freight,Truck,Truck (<3.5t),FCEV,Hydrogen,energy,ktoe,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (<3.5t),FCEV,Hydrogen,intensity,,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (<3.5t),FCEV,Hydrogen,load factor,,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (<3.5t),Hybrid Liquids,Liquids,energy,ktoe,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (<3.5t),Hybrid Liquids,Liquids,intensity,,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (<3.5t),Hybrid Liquids,Liquids,load factor,,,,,,,,,,,,,,,,,,,,
Austria,Freight,Truck,Truck (<3.5t),NG,Natural Gas,energy,ktoe,,0.103250025,0.207832833,0.334196104,0.171912593,0.16207857,0.176974568,0.232509102,1.129014867,1.194596547,1.185800014,1.908622138,1.762135235,1.784625378,1.708974246,1.527630676,1.446029483,1.320292941,1.189543577
Austria,Freight,Truck,Truck (<3.5t),Liquids,Gasoline,intensity,kgoe / ktkm,2035.351013,2021.540418,1996.015838,1944.051341,1892.90927,1856.113785,1837.504115,1790.440216,1721.478291,1683.080235,1654.013399,1612.478891,1575.888945,1534.340183,1509.788486,1496.591473,1483.02229,1454.534095,1435.498425
Austria,Freight,Truck,Truck (<3.5t),Liquids,Diesel,intensity,kgoe / ktkm,1454.698102,1443.143387,1432.585251,1412.768734,1399.82131,1387.493522,1380.450519,1364.82234,1355.677746,1355.901711,1352.31504,1342.230466,1323.31352,1309.273193,1305.941578,1303.929996,1313.828004,1299.823374,1293.73889
Austria,Freight,Truck,Truck (<3.5t),Liquids,LPG,intensity,kgoe / ktkm,3979.906198,3996.448853,4000.919713,3964.138354,3932.761833,3910.916985,3896.101586,3836.403571,3806.523496,3729.835404,3705.049655,3955.112372,3889.226675,3840.418619,3787.157896,3644.957644,3462.679927,3362.202732,3274.967774
Austria,Freight,Truck,Truck (<3.5t),NG,Natural Gas,intensity,kgoe / ktkm,,2251.319055,2252.280844,2175.188017,2113.938294,2022.373781,1974.163142,1946.187022,1981.182959,1947.572655,1900.101476,1739.558631,1703.892911,1678.368586,1660.406404,1623.876008,1610.77568,1574.419119,1556.773466
Austria,Freight,Truck,Truck (<3.5t),NG,Natural Gas,load factor,t/movement,,0.054822085,0.054546055,0.054830516,0.055049438,0.05514284,0.055137158,0.055337012,0.055564562,0.055535712,0.055433962,0.055638155,0.056038998,0.056407702,0.056463661,0.056756009,0.056981179,0.057388951,0.057534519
Austria,Passenger,LDV_2W,Motorcycle,Liquids,Gasoline,energy,ktoe,38.43347954,39.51921382,40.92928424,42.4357055,43.94703177,45.19462262,46.67893011,48.65731001,50.13335324,52.00246782,53.56185164,54.63946025,54.05763401,51.70177008,54.97467619,49.64907027,49.48419673,50.37992154,54.70837061
Austria,Passenger,LDV_2W,Motorcycle,Liquids,Gasoline,intensity,kgoe / kpkm,31.1404823,30.99098294,30.79393864,30.62097889,30.52985843,30.43813711,30.4436292,30.42302936,30.71805137,30.93341806,30.71098287,30.41683822,31.89043617,32.01052052,32.06334437,32.29664307,30.92459649,31.11550475,31.28153568
Austria,Passenger,LDV_2W,Motorcycle,Liquids,Gasoline,load factor,p/movement,1.154317873,1.154639864,1.156493139,1.157101774,1.157657056,1.155668211,1.154655843,1.147529541,1.146939209,1.149429532,1.15141612,1.151756336,1.151088334,1.150532294,1.151219733,1.149963945,1.150425002,1.150403103,1.151739828
Austria,Passenger,LDV_4W,Car,Liquids,LPG,energy,ktoe,20.45247545,20.50917738,19.30710655,20.82814698,18.99672046,16.91369993,15.73895453,16.78743846,15.50758267,13.17025944,9.702370362,8.868360415,8.798068586,5.450591894,4.541746527,2.285867471,1.703497898,2.053771695,1.12625548
Austria,Passenger,LDV_4W,Car,Liquids,Diesel,energy,ktoe,2786.447857,2813.681398,2943.808939,2845.95618,2882.432334,2935.371058,2930.85154,2912.055966,3037.597761,3119.850358,3218.76308,3302.557953,3323.079143,3326.777482,3278.415752,2664.677114,2736.069112,2725.674797,2628.073144
Austria,Passenger,LDV_4W,Car,Liquids,Gasoline,energy,ktoe,2071.410501,1989.941145,1952.563443,1876.495658,1789.604051,1781.811449,1645.042853,1597.297178,1558.489732,1525.173227,1536.417917,1514.785202,1497.154706,1557.410723,1545.82575,1282.789096,1344.24476,1384.753037,1549.330013
Austria,Passenger,LDV_4W,Car,NG,Natural Gas,energy,ktoe,,0.060945047,0.236418048,1.084488281,1.266101703,1.575350654,2.892135417,3.272912066,3.657333578,4.125552662,4.536048418,4.400614786,4.452951093,4.46161478,4.337605783,3.749273962,3.638294495,3.621047289,3.33678171
Austria,Passenger,LDV_4W,Car,BEV,Electricity,energy,ktoe,,,,0.00041634,0.067913653,0.072986429,0.204875663,0.286972829,0.429917334,0.691068465,1.072659403,1.91974148,3.044333656,4.396484105,6.525867743,8.887031199,18.0697287,26.42885955,37.27892489
Austria,Passenger,LDV_4W,Car,BEV,Electricity,load factor,p/movement,,,,1.238423482,1.236815746,1.235311296,1.235127702,1.234037564,1.231981257,1.230313975,1.230516937,1.230485465,1.231756032,1.23154569,1.231462245,1.207880733,1.232952281,1.232113891,1.231813931
Austria,Passenger,LDV_4W,Car,FCEV,Hydrogen,load factor,,,,,,,,,,,,,,,,,,,,
Austria,Passenger,LDV_4W,Car,Liquids,Diesel,load factor,p/movement,1.187504301,1.184000164,1.180007409,1.238423482,1.236815746,1.235311296,1.235127702,1.234037564,1.231981257,1.230313975,1.230516937,1.230485465,1.231756032,1.23154569,1.231462245,1.207880733,1.232952281,1.232113891,1.231813931
Austria,Passenger,LDV_4W,Car,Liquids,Gasoline,load factor,p/movement,1.187504301,1.184000164,1.180007409,1.238423482,1.236815746,1.235311296,1.235127702,1.234037564,1.231981257,1.230313975,1.230516937,1.230485465,1.231756032,1.23154569,1.231462245,1.207880733,1.232952281,1.232113891,1.231813931
Austria,Passenger,LDV_4W,Car,NG,Natural Gas,load factor,p/movement,,1.184000164,1.180007409,1.238423482,1.236815746,1.235311296,1.235127702,1.234037564,1.231981257,1.230313975,1.230516937,1.230485465,1.231756032,1.23154569,1.231462245,1.207880733,1.232952281,1.232113891,1.231813931
Austria,Passenger,LDV_4W,Car,Liquids,LPG,load factor,p/movement,1.187504301,1.184000164,1.180007409,1.238423482,1.236815746,1.235311296,1.235127702,1.234037564,1.231981257,1.230313975,1.230516937,1.230485465,1.231756032,1.23154569,1.231462245,1.207880733,1.232952281,1.232113891,1.231813931
Austria,Passenger,LDV_4W,Car,Hybrid Liquids,Gasoline,load factor,p/movement,,,,,,,1.235127702,1.234037564,1.231981257,1.230313975,1.230516937,1.230485465,1.231756032,1.23154569,1.231462245,1.207880733,1.232952281,1.232113891,1.231813931
Austria,Passenger,Air Domestic,All,Liquids,Liquids,energy,ktoe,35.33514001,37.14765302,37.98750109,37.21141593,36.32302653,35.28852083,34.89788013,32.80883312,32.62858556,31.61771136,31.8008958,31.24131862,29.7875709,31.14476151,25.8040935,16.68043107,16.42445148,18.13761155,18.48278587
Austria,Passenger,Air International,All,Liquids,Liquids,energy,ktoe,326.7941531,338.9626368,355.6163084,361.5839557,320.8724378,345.627663,361.2298981,354.6461606,338.4000827,335.97957,357.9890835,378.1749476,357.1989201,402.9341371,476.8144706,175.5994387,211.1279903,295.9010024,428.2885079
Austria,Passenger,Air Domestic,All,Liquids,Liquids,load factor,p/flight,31.86294149,38.36859007,39.93008015,39.57682216,39.44435544,43.14486992,47.07110909,44.3170418,43.69863566,43.92373245,45.33823057,47.30295611,51.01783239,56.9787435,56.88335862,45.09591147,46.39099243,59.84,60.05957054
Austria,Passenger,Air International,All,Liquids,Liquids,load factor,p/flight,109.0388093,104.6920157,106.0658734,103.5836695,99.73333591,104.950088,109.3711558,114.8869845,118.1160895,121.2172797,124.6957247,124.9371669,130.0746733,137.0468242,144.7644576,105.2745592,109.9894885,152.240681,165.4965748
Austria,Freight,Rail,All,Electric,Electricity,load factor,t/movement,457.8730421,485.2245726,479.0798235,477.1470375,457.2955502,470.8613073,457.9252355,472.7102172,453.323884,499.2900095,491.6033474,506.1291919,511.8756066,492.3168451,471.1396051,452.2572531,477.4826288,484.3821844,462.7592899
Austria,Freight,Rail,All,Liquids,Diesel,load factor,t/movement,463.303834,442.5440382,432.9974633,618.6160372,638.2186143,669.7450051,711.3359944,736.0206533,773.5077722,776.1435592,749.8740026,784.3383457,760.4947661,823.5927624,733.0151997,309.5160836,307.5918154,313.3375026,480.1677762
Austria,Freight,Ship International,All,Liquids,Liquids,load factor,t/movement,,,,,,,,,,,,,,,,,,,
Austria,Freight,Ship International,All,Liquids,Liquids,intensity,kgoe / 000 tkm,,,,,,,,,,,,,,,,,,,
Austria,Passenger,LDV_4W,Car,Hybrid Liquids,Electricity,energy,ktoe,,,,,,,0.000222242,0.031623672,0.054059829,0.105088476,0.226455619,0.342405323,0.599829381,0.866340697,1.259676037,2.329489422,4.910148407,7.774180465,11.26686345
Austria,Passenger,HSR,All,Electric,Electricity,intensity,kgoe / kpkm,,,7.685480803,7.131474052,7.010808441,6.542018433,6.455834679,5.792042189,5.573994126,5.343863987,4.909880798,4.538056981,4.307243752,4.115580176,4.01865,7.451451714,7.357886311,4.204147573,3.858727387
Austria,Passenger,HSR,All,Electric,Electricity,energy,ktoe,,,1.495052456,1.571060101,1.517506912,1.393965161,2.998307949,2.764911362,2.819294182,2.743425377,2.550655511,2.623360575,2.486580313,2.482298107,2.409048628,2.489465297,2.795182611,2.462288167,2.536845145
Austria,Passenger,HSR,All,Electric,Electricity,load factor,p/movement,,,239.3223259,256.0626753,262.6426077,283.5148251,285.9631902,301.498173,307.5175573,313.5313693,324.5940129,338.2577865,346.4958345,355.0595442,357.9135721,190.748894,191.4623011,332.8575909,360.8422424
Austria,Passenger,Rail,All,Liquids,Diesel,intensity,kgoe / kpkm,26.66762254,25.59560581,24.94156725,22.12912209,23.63315807,23.61805136,21.56704798,20.31980069,18.83891182,18.9740667,17.82006112,17.57014193,17.84726332,17.21325594,16.61392291,28.1898596,26.02221966,26.74745402,20.09331671
Austria,Passenger,Rail,All,Electric,Electricity,intensity,kgoe / kpkm,10.21952181,10.01149736,9.903126251,9.618480815,10.57913538,10.73101806,9.204323236,8.755540842,8.083309284,8.223250374,7.918927267,7.846406637,7.938809408,7.360283107,6.840153875,9.353747712,8.276726258,5.273129462,5.300682582
Austria,Passenger,Rail,All,Electric,Electricity,energy,ktoe,74.27581548,74.90071642,74.39910141,78.99511723,85.27885496,88.04707146,79.29740546,77.47950038,77.17478092,78.90819567,79.79227506,81.39774489,82.12003976,79.93877112,75.0631703,61.38469093,61.92729174,62.05998438,68.07986334
Austria,Passenger,Rail,All,Liquids,Diesel,energy,ktoe,37.78715745,36.48730583,36.40925508,42.75020852,45.05674548,43.57549527,36.62799531,38.2914411,32.98282331,35.51714929,26.87904306,27.14642645,29.27973233,28.54001062,27.88866307,13.48409903,13.4797927,13.37961039,18.76648195
Austria,Passenger,Rail,All,Electric,Electricity,load factor,p/movement,137.8963439,136.3971776,134.5321238,134.5417252,122.4603461,118.2322995,136.9630235,139.3746092,120.1667524,110.7509993,109.6624439,98.57232365,89.31956078,95.22851373,95.28360293,67.30005972,74.10206393,114.0607723,111.8175128
Austria,Passenger,Rail,All,Liquids,Diesel,load factor,p/movement,83.99664662,81.1756518,80.66464421,88.84067701,84.44379859,86.60875492,88.5226171,93.82928956,96.91733823,95.42708684,95.2153073,96.5757073,94.79536377,97.87300326,93.80524797,54.75524824,58.88963062,56.98349689,75.54682209
Austria,Passenger,Urban rail,All,BEV,Electricity,intensity,kgoe / kpkm,5.336637772,5.281224266,5.258882759,4.870123232,4.861129407,4.853666151,4.473037893,4.508244546,4.393952765,4.302349115,4.267774523,4.212379518,4.210805597,4.135571853,4.176777834,5.813837309,5.728913519,5.302211375,4.09264083
Austria,Passenger,Urban rail,All,BEV,Electricity,energy,ktoe,34.35328776,34.50326164,34.86281759,32.75465887,33.16326116,33.58162209,31.38143575,32.06599868,31.68036423,30.15971839,30.65134009,30.26733815,30.26994042,29.74284375,30.77895253,34.2740418,35.46206429,34.73775837,27.94215998
Austria,Passenger,Urban rail,All,BEV,Electricity,load factor,p/movement,77.34765295,76.67640482,76.99118746,78.79701217,77.81668228,78.32049756,79.22099528,80.33475199,81.39172753,80.73525852,80.68716736,81.21873642,80.85406669,82.02457584,80.99301513,58.06749635,58.8374693,63.49900503,82.19466025
