# File: A44.en_consumption_shares_hp_EUR.csv
# Title: Heatpump shares across deciles
# Units: NA
# Source: BC3 - based on Prescott Morley's model
# Column types: ccccnnnnnn
# ----------
region,decile,GCAM_region_ID,consumption.category,liquidity,blend,smoothed,engel,quadratic,engel_eps
Luxembourg,d9,45,air,0.13033,0.13276,0.17892,0.15466,0.17025,1
Luxembourg,d10,45,air,0.16763,0.17645,0.22411,0.25585,0.46590,1
Malta,d1,46,air,0.00000,0.00282,0.01980,0.02822,0.00582,1
Malta,d2,46,air,0.00000,0.00451,0.03008,0.04512,0.01488,1
Malta,d3,46,air,0.00000,0.00578,0.04065,0.05780,0.02441,1
Malta,d4,46,air,0.10872,0.10471,0.05202,0.06869,0.03448,1
Malta,d5,46,air,0.11727,0.11353,0.06618,0.07992,0.04667,1
Malta,d6,46,air,0.12576,0.12237,0.08398,0.09190,0.06172,1
Malta,d7,46,air,0.13439,0.13145,0.10613,0.10496,0.08050,1
Malta,d8,46,air,0.14552,0.14327,0.13980,0.12305,0.11066,1
Malta,d9,46,air,0.16125,0.16023,0.19057,0.15110,0.16684,1
Malta,d10,46,air,0.20710,0.21132,0.27079,0.24926,0.45402,1
Netherlands,d1,47,air,0.00000,0.00258,0.02540,0.02576,0.00472,1
Netherlands,d2,47,air,0.07154,0.06857,0.03647,0.04178,0.01242,1
Netherlands,d3,47,air,0.08230,0.07960,0.04860,0.05529,0.02176,1
Netherlands,d4,47,air,0.09047,0.08810,0.06107,0.06680,0.03177,1
Netherlands,d5,47,air,0.09796,0.09599,0.07541,0.07832,0.04366,1
Netherlands,d6,47,air,0.10552,0.10406,0.09278,0.09089,0.05880,1
Netherlands,d7,47,air,0.11368,0.11287,0.11428,0.10549,0.07921,1
Netherlands,d8,47,air,0.12383,0.12397,0.14297,0.12517,0.11151,1
Netherlands,d9,47,air,0.13765,0.13935,0.17892,0.15466,0.17025,1
Netherlands,d10,47,air,0.17704,0.18492,0.22411,0.25585,0.46590,1
Poland,d1,48,air,0.00000,0.00282,0.01360,0.00873,0.00582,1.759
Poland,d2,48,air,0.00000,0.00451,0.02110,0.01994,0.01488,1.759
Poland,d3,48,air,0.00000,0.00578,0.02913,0.03082,0.02441,1.759
Poland,d4,48,air,0.00000,0.00687,0.03818,0.04175,0.03448,1.759
Poland,d5,48,air,0.00000,0.00799,0.05007,0.05450,0.04667,1.759
Poland,d6,48,air,0.00000,0.00919,0.06610,0.06968,0.06172,1.759
Poland,d7,48,air,0.00000,0.01050,0.08797,0.08802,0.08050,1.759
Poland,d8,48,air,0.28318,0.26717,0.12600,0.11644,0.11066,1.759
Poland,d9,48,air,0.31379,0.29752,0.19787,0.16709,0.16684,1.759
Poland,d10,48,air,0.40303,0.38765,0.36998,0.40303,0.45402,1.759
Portugal,d1,49,air,0.00000,0.00258,0.01971,0.02317,0.00472,1.0681
Portugal,d2,49,air,0.00000,0.00418,0.02888,0.03885,0.01242,1.0681
Portugal,d3,49,air,0.00000,0.00553,0.03938,0.05240,0.02176,1.0681
Portugal,d4,49,air,0.00000,0.00668,0.05070,0.06414,0.03177,1.0681
Portugal,d5,49,air,0.00000,0.00783,0.06442,0.07602,0.04366,1.0681
Portugal,d6,49,air,0.16043,0.15348,0.08215,0.08911,0.05880,1.0681
Portugal,d7,49,air,0.17284,0.16611,0.10597,0.10449,0.07921,1.0681
Portugal,d8,49,air,0.18827,0.18196,0.14150,0.12543,0.11151,1.0681
Portugal,d9,49,air,0.20928,0.20382,0.19337,0.15723,0.17025,1.0681
Portugal,d10,49,air,0.26917,0.26784,0.27392,0.26917,0.46590,1.0681
Romania,d1,50,air,0.00000,0.00282,0.00375,0.00227,0.00582,2.5297
Romania,d2,50,air,0.00000,0.00451,0.00593,0.00745,0.01488,2.5297
Romania,d3,50,air,0.00000,0.00578,0.00835,0.01394,0.02441,2.5297
Romania,d4,50,air,0.00000,0.00687,0.01120,0.02157,0.03448,2.5297
Romania,d5,50,air,0.00000,0.00799,0.01515,0.03164,0.04667,2.5297
Romania,d6,50,air,0.00000,0.00919,0.02089,0.04506,0.06172,2.5297
Romania,d7,50,air,0.00000,0.01050,0.02961,0.06305,0.08050,2.5297
Romania,d8,50,air,0.00000,0.01231,0.04779,0.09429,0.11066,2.5297
Romania,d9,50,air,0.43775,0.40909,0.09877,0.15848,0.16684,2.5297
Romania,d10,50,air,0.56225,0.53095,0.75857,0.56225,0.45402,2.5297
Slovakia,d1,51,air,0.00000,0.00282,0.01360,0.01655,0.00582,1.3588
Slovakia,d2,51,air,0.00000,0.00451,0.02110,0.03132,0.01488,1.3588
Slovakia,d3,51,air,0.00000,0.00578,0.02913,0.04385,0.02441,1.3588
Slovakia,d4,51,air,0.00000,0.00687,0.03818,0.05544,0.03448,1.3588
Slovakia,d5,51,air,0.00000,0.00799,0.05007,0.06811,0.04667,1.3588
Slovakia,d6,51,air,0.00000,0.00919,0.06610,0.08235,0.06172,1.3588
Slovakia,d7,51,air,0.20731,0.19708,0.08797,0.09864,0.08050,1.3588
Slovakia,d8,51,air,0.22447,0.21433,0.12600,0.12244,0.11066,1.3588
Slovakia,d9,51,air,0.24874,0.23897,0.19787,0.16183,0.16684,1.3588
Slovakia,d10,51,air,0.31948,0.31246,0.36998,0.31948,0.45402,1.3588
Slovenia,d1,52,air,0.00000,0.00282,0.01980,0.02822,0.00582,1
Slovenia,d2,52,air,0.00000,0.00451,0.03008,0.04512,0.01488,1
Slovenia,d3,52,air,0.00000,0.00578,0.04065,0.05780,0.02441,1
Slovenia,d4,52,air,0.00000,0.00687,0.05202,0.06869,0.03448,1
Slovenia,d5,52,air,0.13157,0.12641,0.06618,0.07992,0.04667,1
Slovenia,d6,52,air,0.14110,0.13618,0.08398,0.09190,0.06172,1
Slovenia,d7,52,air,0.15078,0.14620,0.10613,0.10496,0.08050,1
Slovenia,d8,52,air,0.16327,0.15925,0.13980,0.12306,0.11066,1
Slovenia,d9,52,air,0.18092,0.17793,0.19057,0.15110,0.16684,1
Slovenia,d10,52,air,0.23237,0.23406,0.27079,0.24926,0.45402,1
Spain,d1,53,air,0.00000,0.00258,0.01971,0.02576,0.00472,1
Spain,d2,53,air,0.00000,0.00418,0.02888,0.04178,0.01242,1
Spain,d3,53,air,0.00000,0.00553,0.03938,0.05529,0.02176,1
Spain,d4,53,air,0.00000,0.00668,0.05070,0.06680,0.03177,1
Spain,d5,53,air,0.12963,0.12450,0.06443,0.07832,0.04366,1
Spain,d6,53,air,0.13964,0.13476,0.08215,0.09089,0.05880,1
Spain,d7,53,air,0.15044,0.14594,0.10597,0.10549,0.07921,1
Spain,d8,53,air,0.16387,0.16000,0.14150,0.12517,0.11151,1
Spain,d9,53,air,0.18215,0.17940,0.19337,0.15466,0.17025,1
Spain,d10,53,air,0.23428,0.23644,0.27392,0.25585,0.46590,1
Sweden,d1,54,air,0.00000,0.00258,0.02540,0.02576,0.00472,1
Sweden,d2,54,air,0.07154,0.06857,0.03647,0.04178,0.01242,1
Sweden,d3,54,air,0.08230,0.07960,0.04860,0.05529,0.02176,1
Sweden,d4,54,air,0.09047,0.08810,0.06107,0.06680,0.03177,1
Sweden,d5,54,air,0.09796,0.09599,0.07541,0.07832,0.04366,1
Sweden,d6,54,air,0.10552,0.10406,0.09278,0.09089,0.05880,1
Sweden,d7,54,air,0.11368,0.11287,0.11428,0.10549,0.07921,1
Sweden,d8,54,air,0.12383,0.12397,0.14297,0.12517,0.11151,1
Sweden,d9,54,air,0.13765,0.13935,0.17892,0.15466,0.17025,1
Sweden,d10,54,air,0.17704,0.18492,0.22411,0.25585,0.46590,1
Belgium,d1,29,geo,0.00000,0.00258,0.02540,0.02576,0.00472,1
Belgium,d2,29,geo,0.00000,0.00418,0.03647,0.04178,0.01242,1
Belgium,d3,29,geo,0.08864,0.08531,0.04860,0.05529,0.02176,1
Belgium,d4,29,geo,0.09744,0.09438,0.06107,0.06680,0.03177,1
Belgium,d5,29,geo,0.10551,0.10279,0.07541,0.07832,0.04366,1
Belgium,d6,29,geo,0.11365,0.11138,0.09278,0.09089,0.05880,1
Belgium,d7,29,geo,0.12244,0.12075,0.11428,0.10549,0.07921,1
Belgium,d8,29,geo,0.13338,0.13256,0.14297,0.12517,0.11151,1
Belgium,d9,29,geo,0.14826,0.14890,0.17892,0.15466,0.17025,1
Belgium,d10,29,geo,0.19069,0.19720,0.22411,0.25585,0.46590,1
Bulgaria,d1,30,geo,0.00000,0.00282,0.00375,0.00000,0.00582,6.5712
Bulgaria,d2,30,geo,0.00000,0.00451,0.00593,0.00001,0.01488,6.5712
Bulgaria,d3,30,geo,0.00000,0.00578,0.00835,0.00006,0.02441,6.5712
Bulgaria,d4,30,geo,0.00000,0.00687,0.01120,0.00020,0.03448,6.5712
Bulgaria,d5,30,geo,0.00000,0.00799,0.01515,0.00054,0.04667,6.5712
Bulgaria,d6,30,geo,0.00000,0.00919,0.02089,0.00135,0.06172,6.5712
Bulgaria,d7,30,geo,0.00000,0.01050,0.02960,0.00323,0.08050,6.5712
Bulgaria,d8,30,geo,0.00000,0.01231,0.04779,0.00919,0.11066,6.5712
Bulgaria,d9,30,geo,0.00000,0.01511,0.09876,0.03541,0.16684,6.5712
Bulgaria,d10,30,geo,1.00000,0.92493,0.75857,0.95000,0.45403,6.5712
Croatia,d1,31,geo,0.00000,0.00171,0.00425,0.00287,0.00155,1.763
Croatia,d2,31,geo,0.00000,0.00301,0.00536,0.00778,0.00482,1.763
Croatia,d3,31,geo,0.00000,0.00402,0.00642,0.01298,0.00861,1.763
Croatia,d4,31,geo,0.00000,0.00505,0.00771,0.01941,0.01360,1.763
Croatia,d5,31,geo,0.00000,0.00619,0.00944,0.02777,0.02041,1.763
Croatia,d6,31,geo,0.00000,0.00755,0.01201,0.03936,0.03032,1.763
Croatia,d7,31,geo,0.00000,0.00928,0.01633,0.05671,0.04588,1.763
Croatia,d8,31,geo,0.00000,0.01182,0.02556,0.08681,0.07438,1.763
Croatia,d9,31,geo,0.40296,0.37874,0.05375,0.14928,0.13756,1.763
Croatia,d10,31,geo,0.59704,0.57262,0.85919,0.59704,0.66288,1.763
Cyprus,d1,32,geo,0.00000,0.00282,0.01360,0.00873,0.00582,1.759
Cyprus,d2,32,geo,0.00000,0.00451,0.02110,0.01994,0.01488,1.759
Cyprus,d3,32,geo,0.00000,0.00578,0.02913,0.03082,0.02441,1.759
Cyprus,d4,32,geo,0.00000,0.00687,0.03818,0.04175,0.03448,1.759
Cyprus,d5,32,geo,0.00000,0.00799,0.05007,0.05450,0.04667,1.759
Cyprus,d6,32,geo,0.00000,0.00919,0.06610,0.06968,0.06172,1.759
Cyprus,d7,32,geo,0.00000,0.01050,0.08797,0.08802,0.08050,1.759
Cyprus,d8,32,geo,0.28318,0.26717,0.12600,0.11644,0.11066,1.759
Cyprus,d9,32,geo,0.31379,0.29752,0.19787,0.16709,0.16684,1.759
Cyprus,d10,32,geo,0.40303,0.38765,0.36998,0.40303,0.45402,1.759
Czech Republic,d1,33,geo,0.00000,0.00282,0.01360,0.01655,0.00582,1.3588
Czech Republic,d2,33,geo,0.00000,0.00451,0.02110,0.03132,0.01488,1.3588
Czech Republic,d3,33,geo,0.00000,0.00578,0.02913,0.04385,0.02441,1.3588
Czech Republic,d4,33,geo,0.00000,0.00687,0.03818,0.05544,0.03448,1.3588
Czech Republic,d5,33,geo,0.00000,0.00799,0.05007,0.06811,0.04667,1.3588
