# File: eurostat_elec_exports.csv
# Title: Exports of elec in Eurostat trade db
# Units: GWH
# Comments: Original eurostat db filtered to elec and added country names
# Source: https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nrg_te_eh?format=TSV&compressed=true
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnncc 
# ----------
freq,siec,code_importer,unit,code_exporter,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,import_ctry,export_ctry
A,E7000,AL,GWH,EL,457,648,104,82,157,391,383,537,816,959,1111,997,1161,781,515,1056,978,1773,1657,1035,491,2125,1480,125,511,806,494,1692,919,790,413,1054,1502,Albania,Greece
A,E7000,AL,GWH,ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Spain
A,E7000,AL,GWH,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Finland
A,E7000,AL,GWH,FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,France
A,E7000,AL,GWH,GE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,Albania,Georgia
A,E7000,AL,GWH,HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Croatia
A,E7000,AL,GWH,HU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Hungary
A,E7000,AL,GWH,IE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Ireland
A,E7000,AL,GWH,IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Albania,Iceland
A,E7000,AL,GWH,IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Italy
A,E7000,AL,GWH,LI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,Albania,Liechtenstein
A,E7000,AL,GWH,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Lithuania
A,E7000,AL,GWH,LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Luxembourg
A,E7000,AL,GWH,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Latvia
A,E7000,AL,GWH,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,Albania,Moldova (the Republic of)
A,E7000,AL,GWH,ME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,47,37,103,90,101,125,74.9,0,0,2665,434.3,446.115,Albania,Montenegro
A,E7000,AL,GWH,MK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,North Macedonia
A,E7000,AL,GWH,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Malta
A,E7000,AL,GWH,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Netherlands (the)
A,E7000,AL,GWH,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Norway
A,E7000,AL,GWH,PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Poland
A,E7000,AL,GWH,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Portugal
A,E7000,AL,GWH,RO,0,0,0,0,0,0,0,0,26,0,85,0,0,0,129,0,0,364,169,49,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Romania
A,E7000,AL,GWH,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Serbia
A,E7000,AL,GWH,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Sweden
A,E7000,AL,GWH,SI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Slovenia
A,E7000,AL,GWH,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Slovakia
A,E7000,AL,GWH,TR,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,Turkey
A,E7000,AL,GWH,UA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,Albania,Ukraine
A,E7000,AL,GWH,UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,Albania,United Kingdom
A,E7000,AL,GWH,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,316,233,0,0,0,0,0,0,0,0,764.291,NA,Albania,Serbia
A,E7000,AM,GWH,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armenia,Albania
A,E7000,AM,GWH,AT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armenia,Austria
A,E7000,AM,GWH,BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,Armenia,Bosnia and Herzegovina
A,E7000,AM,GWH,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armenia,Belgium
A,E7000,AM,GWH,BG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armenia,Bulgaria
A,E7000,AM,GWH,CY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armenia,Cyprus
A,E7000,AM,GWH,CZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armenia,Czechia
A,E7000,AM,GWH,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armenia,Germany
A,E7000,AM,GWH,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armenia,Denmark
A,E7000,AM,GWH,EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armenia,Estonia
A,E7000,AM,GWH,EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armenia,Greece
