"","sector.name","subsector.name","intermittent.technology","year","input.capital","capital.overnight","fixed.charge.rate"
"128","intermediate generation","solar","PV_int",2015,"capital",344,0.13
"129","subpeak generation","solar","PV_subpeak",2015,"capital",344,0.13
"130","peak generation","solar","PV_peak",2015,"capital",344,0.13
"131","base load generation","solar","PV_base",2021,"capital",323,0.13
"132","intermediate generation","solar","PV_int",2021,"capital",323,0.13
"133","subpeak generation","solar","PV_subpeak",2021,"capital",323,0.13
"134","peak generation","solar","PV_peak",2021,"capital",323,0.13
"135","base load generation","solar","PV_base",2025,"capital",255,0.13
"136","intermediate generation","solar","PV_int",2025,"capital",255,0.13
"137","subpeak generation","solar","PV_subpeak",2025,"capital",255,0.13
"138","peak generation","solar","PV_peak",2025,"capital",255,0.13
"139","base load generation","solar","PV_base",2030,"capital",205,0.13
"140","intermediate generation","solar","PV_int",2030,"capital",205,0.13
"141","subpeak generation","solar","PV_subpeak",2030,"capital",205,0.13
"142","peak generation","solar","PV_peak",2030,"capital",205,0.13
"143","base load generation","solar","PV_base",2035,"capital",177,0.13
"144","intermediate generation","solar","PV_int",2035,"capital",177,0.13
"145","subpeak generation","solar","PV_subpeak",2035,"capital",177,0.13
"146","peak generation","solar","PV_peak",2035,"capital",177,0.13
"147","base load generation","solar","PV_base",2040,"capital",162,0.13
"148","intermediate generation","solar","PV_int",2040,"capital",162,0.13
"149","subpeak generation","solar","PV_subpeak",2040,"capital",162,0.13
"150","peak generation","solar","PV_peak",2040,"capital",162,0.13
"151","base load generation","solar","PV_base",2045,"capital",153,0.13
"152","intermediate generation","solar","PV_int",2045,"capital",153,0.13
"153","subpeak generation","solar","PV_subpeak",2045,"capital",153,0.13
"154","peak generation","solar","PV_peak",2045,"capital",153,0.13
"155","base load generation","solar","PV_base",2050,"capital",148,0.13
"156","intermediate generation","solar","PV_int",2050,"capital",148,0.13
"157","subpeak generation","solar","PV_subpeak",2050,"capital",148,0.13
"158","peak generation","solar","PV_peak",2050,"capital",148,0.13
"159","base load generation","solar","PV_base",2055,"capital",145,0.13
"160","intermediate generation","solar","PV_int",2055,"capital",145,0.13
"161","subpeak generation","solar","PV_subpeak",2055,"capital",145,0.13
"162","peak generation","solar","PV_peak",2055,"capital",145,0.13
"163","base load generation","solar","PV_base",2060,"capital",144,0.13
"164","intermediate generation","solar","PV_int",2060,"capital",144,0.13
"165","subpeak generation","solar","PV_subpeak",2060,"capital",144,0.13
"166","peak generation","solar","PV_peak",2060,"capital",144,0.13
"167","base load generation","solar","PV_base",2065,"capital",143,0.13
"168","intermediate generation","solar","PV_int",2065,"capital",143,0.13
"169","subpeak generation","solar","PV_subpeak",2065,"capital",143,0.13
"170","peak generation","solar","PV_peak",2065,"capital",143,0.13
"171","base load generation","solar","PV_base",2070,"capital",143,0.13
