"","sector.name","subsector.name","intermittent.technology","year","input.capital","capital.overnight","fixed.charge.rate","subsector.name0"
"68","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2021,"capital",925,0.13,"solar"
"69","peak generation","CSP_peak","CSP (recirculating)",2021,"capital",925,0.13,"solar"
"70","peak generation","CSP_peak","CSP (dry_hybrid)",2021,"capital",925,0.13,"solar"
"71","base load generation","CSP_base","CSP (recirculating)",2025,"capital",783,0.13,"solar"
"72","base load generation","CSP_base","CSP (dry_hybrid)",2025,"capital",783,0.13,"solar"
"73","intermediate generation","CSP_int","CSP (recirculating)",2025,"capital",783,0.13,"solar"
"74","intermediate generation","CSP_int","CSP (dry_hybrid)",2025,"capital",783,0.13,"solar"
"75","subpeak generation","CSP_subpeak","CSP (recirculating)",2025,"capital",783,0.13,"solar"
"76","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2025,"capital",783,0.13,"solar"
"77","peak generation","CSP_peak","CSP (recirculating)",2025,"capital",783,0.13,"solar"
"78","peak generation","CSP_peak","CSP (dry_hybrid)",2025,"capital",783,0.13,"solar"
"79","base load generation","CSP_base","CSP (recirculating)",2030,"capital",666,0.13,"solar"
"80","base load generation","CSP_base","CSP (dry_hybrid)",2030,"capital",666,0.13,"solar"
"81","intermediate generation","CSP_int","CSP (recirculating)",2030,"capital",666,0.13,"solar"
"82","intermediate generation","CSP_int","CSP (dry_hybrid)",2030,"capital",666,0.13,"solar"
"83","subpeak generation","CSP_subpeak","CSP (recirculating)",2030,"capital",666,0.13,"solar"
"84","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2030,"capital",666,0.13,"solar"
"85","peak generation","CSP_peak","CSP (recirculating)",2030,"capital",666,0.13,"solar"
"86","peak generation","CSP_peak","CSP (dry_hybrid)",2030,"capital",666,0.13,"solar"
"87","base load generation","CSP_base","CSP (recirculating)",2035,"capital",593,0.13,"solar"
"88","base load generation","CSP_base","CSP (dry_hybrid)",2035,"capital",593,0.13,"solar"
"89","intermediate generation","CSP_int","CSP (recirculating)",2035,"capital",593,0.13,"solar"
"90","intermediate generation","CSP_int","CSP (dry_hybrid)",2035,"capital",593,0.13,"solar"
"91","subpeak generation","CSP_subpeak","CSP (recirculating)",2035,"capital",593,0.13,"solar"
"92","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2035,"capital",593,0.13,"solar"
"93","peak generation","CSP_peak","CSP (recirculating)",2035,"capital",593,0.13,"solar"
"94","peak generation","CSP_peak","CSP (dry_hybrid)",2035,"capital",593,0.13,"solar"
"95","base load generation","CSP_base","CSP (recirculating)",2040,"capital",547,0.13,"solar"
"96","base load generation","CSP_base","CSP (dry_hybrid)",2040,"capital",547,0.13,"solar"
"97","intermediate generation","CSP_int","CSP (recirculating)",2040,"capital",547,0.13,"solar"
"98","intermediate generation","CSP_int","CSP (dry_hybrid)",2040,"capital",547,0.13,"solar"
"99","subpeak generation","CSP_subpeak","CSP (recirculating)",2040,"capital",547,0.13,"solar"
"100","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2040,"capital",547,0.13,"solar"
"101","peak generation","CSP_peak","CSP (recirculating)",2040,"capital",547,0.13,"solar"
"102","peak generation","CSP_peak","CSP (dry_hybrid)",2040,"capital",547,0.13,"solar"
"103","base load generation","CSP_base","CSP (recirculating)",2045,"capital",519,0.13,"solar"
"104","base load generation","CSP_base","CSP (dry_hybrid)",2045,"capital",519,0.13,"solar"
"105","intermediate generation","CSP_int","CSP (recirculating)",2045,"capital",519,0.13,"solar"
"106","intermediate generation","CSP_int","CSP (dry_hybrid)",2045,"capital",519,0.13,"solar"
"107","subpeak generation","CSP_subpeak","CSP (recirculating)",2045,"capital",519,0.13,"solar"
"108","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2045,"capital",519,0.13,"solar"
"109","peak generation","CSP_peak","CSP (recirculating)",2045,"capital",519,0.13,"solar"
"110","peak generation","CSP_peak","CSP (dry_hybrid)",2045,"capital",519,0.13,"solar"
"111","base load generation","CSP_base","CSP (recirculating)",2050,"capital",501,0.13,"solar"
"112","base load generation","CSP_base","CSP (dry_hybrid)",2050,"capital",501,0.13,"solar"
"113","intermediate generation","CSP_int","CSP (recirculating)",2050,"capital",501,0.13,"solar"
"114","intermediate generation","CSP_int","CSP (dry_hybrid)",2050,"capital",501,0.13,"solar"
"115","subpeak generation","CSP_subpeak","CSP (recirculating)",2050,"capital",501,0.13,"solar"
"116","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2050,"capital",501,0.13,"solar"
"117","peak generation","CSP_peak","CSP (recirculating)",2050,"capital",501,0.13,"solar"
"118","peak generation","CSP_peak","CSP (dry_hybrid)",2050,"capital",501,0.13,"solar"
"119","base load generation","CSP_base","CSP (recirculating)",2055,"capital",490,0.13,"solar"
"120","base load generation","CSP_base","CSP (dry_hybrid)",2055,"capital",490,0.13,"solar"
"121","intermediate generation","CSP_int","CSP (recirculating)",2055,"capital",490,0.13,"solar"
"122","intermediate generation","CSP_int","CSP (dry_hybrid)",2055,"capital",490,0.13,"solar"
"123","subpeak generation","CSP_subpeak","CSP (recirculating)",2055,"capital",490,0.13,"solar"
"124","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2055,"capital",490,0.13,"solar"
"125","peak generation","CSP_peak","CSP (recirculating)",2055,"capital",490,0.13,"solar"
"126","peak generation","CSP_peak","CSP (dry_hybrid)",2055,"capital",490,0.13,"solar"
"127","base load generation","CSP_base","CSP (recirculating)",2060,"capital",483,0.13,"solar"
"128","base load generation","CSP_base","CSP (dry_hybrid)",2060,"capital",483,0.13,"solar"
"129","intermediate generation","CSP_int","CSP (recirculating)",2060,"capital",483,0.13,"solar"
"130","intermediate generation","CSP_int","CSP (dry_hybrid)",2060,"capital",483,0.13,"solar"
"131","subpeak generation","CSP_subpeak","CSP (recirculating)",2060,"capital",483,0.13,"solar"
"132","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2060,"capital",483,0.13,"solar"
"133","peak generation","CSP_peak","CSP (recirculating)",2060,"capital",483,0.13,"solar"
"134","peak generation","CSP_peak","CSP (dry_hybrid)",2060,"capital",483,0.13,"solar"
"135","base load generation","CSP_base","CSP (recirculating)",2065,"capital",479,0.13,"solar"
"136","base load generation","CSP_base","CSP (dry_hybrid)",2065,"capital",479,0.13,"solar"
"137","intermediate generation","CSP_int","CSP (recirculating)",2065,"capital",479,0.13,"solar"
"138","intermediate generation","CSP_int","CSP (dry_hybrid)",2065,"capital",479,0.13,"solar"
"139","subpeak generation","CSP_subpeak","CSP (recirculating)",2065,"capital",479,0.13,"solar"
"140","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2065,"capital",479,0.13,"solar"
"141","peak generation","CSP_peak","CSP (recirculating)",2065,"capital",479,0.13,"solar"
"142","peak generation","CSP_peak","CSP (dry_hybrid)",2065,"capital",479,0.13,"solar"
"143","base load generation","CSP_base","CSP (recirculating)",2070,"capital",476,0.13,"solar"
"144","base load generation","CSP_base","CSP (dry_hybrid)",2070,"capital",476,0.13,"solar"
"145","intermediate generation","CSP_int","CSP (recirculating)",2070,"capital",476,0.13,"solar"
"146","intermediate generation","CSP_int","CSP (dry_hybrid)",2070,"capital",476,0.13,"solar"
"147","subpeak generation","CSP_subpeak","CSP (recirculating)",2070,"capital",476,0.13,"solar"
"148","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2070,"capital",476,0.13,"solar"
"149","peak generation","CSP_peak","CSP (recirculating)",2070,"capital",476,0.13,"solar"
"150","peak generation","CSP_peak","CSP (dry_hybrid)",2070,"capital",476,0.13,"solar"
"151","base load generation","CSP_base","CSP (recirculating)",2075,"capital",475,0.13,"solar"
"152","base load generation","CSP_base","CSP (dry_hybrid)",2075,"capital",475,0.13,"solar"
"153","intermediate generation","CSP_int","CSP (recirculating)",2075,"capital",475,0.13,"solar"
"154","intermediate generation","CSP_int","CSP (dry_hybrid)",2075,"capital",475,0.13,"solar"
"155","subpeak generation","CSP_subpeak","CSP (recirculating)",2075,"capital",475,0.13,"solar"
"156","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2075,"capital",475,0.13,"solar"
"157","peak generation","CSP_peak","CSP (recirculating)",2075,"capital",475,0.13,"solar"
"158","peak generation","CSP_peak","CSP (dry_hybrid)",2075,"capital",475,0.13,"solar"
"159","base load generation","CSP_base","CSP (recirculating)",2080,"capital",474,0.13,"solar"
"160","base load generation","CSP_base","CSP (dry_hybrid)",2080,"capital",474,0.13,"solar"
"161","intermediate generation","CSP_int","CSP (recirculating)",2080,"capital",474,0.13,"solar"
"162","intermediate generation","CSP_int","CSP (dry_hybrid)",2080,"capital",474,0.13,"solar"
"163","subpeak generation","CSP_subpeak","CSP (recirculating)",2080,"capital",474,0.13,"solar"
"164","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2080,"capital",474,0.13,"solar"
"165","peak generation","CSP_peak","CSP (recirculating)",2080,"capital",474,0.13,"solar"
"166","peak generation","CSP_peak","CSP (dry_hybrid)",2080,"capital",474,0.13,"solar"
"167","base load generation","CSP_base","CSP (recirculating)",2085,"capital",473,0.13,"solar"
"168","base load generation","CSP_base","CSP (dry_hybrid)",2085,"capital",473,0.13,"solar"
"169","intermediate generation","CSP_int","CSP (recirculating)",2085,"capital",473,0.13,"solar"
"170","intermediate generation","CSP_int","CSP (dry_hybrid)",2085,"capital",473,0.13,"solar"
"171","subpeak generation","CSP_subpeak","CSP (recirculating)",2085,"capital",473,0.13,"solar"
"172","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2085,"capital",473,0.13,"solar"
"173","peak generation","CSP_peak","CSP (recirculating)",2085,"capital",473,0.13,"solar"
