# File: GCAMFAOSTAT_GDP.csv
# Title: FAO real and nominal GDP since 1970
# Units: 2015 million USD or nominal million USD
# Description:  Data is preprocessed and generated by gcamfaostat.
# Data source: FAOSTAT (main domain:MK FAO.udpate:2024-06-12T00:00:00)
# Date of CSV last update: 2024-07-24
# Column types: iicicccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,item_code,item,element_code,element,unit,area,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
12,22008,Gross Domestic Product,6110,Value US$,million USD,Bahamas,762.965055,790.54041,850.048649,972.46812,1179.14444,1101.104088,1212.959869,1288.018707,1501.748179,1824.624083,2189.549043,2268.372957,2554.188014,2842.811439,3036.122483,3306.337382,3574.150547,3935.169678,4091.463142,4612.085023,4767.541687,4685.397547,4682.3848,4656.325033,4907.552998,5164.608418,5862.51396,6332.4,6833.2,7683.9,8076.5,8317.8,8881.2,8870.1,9055.3,9836.2,10167.3,10618.3,10526,9982,10095.8,10070.4,10720.44561,10568.41517,11111.58035,11710.75663,11928.52997,12490.73493,13022.1389,13578.83261,9754.559442,11527.57328,12897.42193,13961.8203
12,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Bahamas,4596.29317,4671.052281,4507.68989,4848.812425,4036.431284,3438.913262,3617.227276,3948.381872,4508.243476,5686.666572,6056.031597,5497.27759,5865.534595,6076.520918,6937.633728,7272.664556,7403.354354,7624.308897,7800.408145,8325.167326,8192.200809,7849.818337,7549.319056,7572.531427,7811.215155,8153.09301,8497.49395,9013.292701,9438.358286,10112.69073,10532.28993,10808.77935,11101.12127,10960.74467,11057.49957,11432.93044,11720.6806,11890.24766,11613.97689,11128.9998,11300.20677,11369.52045,11720.45847,11384.87086,11595.17872,11710.75663,11621.38011,11914.69012,12262.41372,12171.18176,9309.962663,10891.22763,12456.17497,12986.18521
13,22008,Gross Domestic Product,6110,Value US$,million USD,Bahrain,422.003552,454.985468,575.580428,820.273128,1123.155693,1184.510018,1704.61016,2143.884345,2448.582231,2919.845264,3764.309882,4249.495447,4467.526927,4577.031528,4785.937614,4475.022766,3740.429415,3800.396218,4173.233306,4478.281832,4909.130285,5197.557577,5432.210287,5946.492302,6410.10698,6786.968612,7059.043163,7315.426213,6997.873038,7582.447229,9062.906941,8976.207763,9593.509106,11074.82214,13150.16688,15968.72681,18504.75861,21730.01243,25710.87441,22938.22034,25713.27128,28776.59575,30749.20213,32539.62766,33387.76596,31050.53192,32235.10638,35473.67021,37801.8617,38653.45745,34622.25725,39303.40699,44382.68617,44864.00829
13,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Bahrain,4716.414144,4792.213657,5322.810248,6063.961042,6577.713297,5996.583698,7824.120381,8842.636957,9184.163347,9502.786589,9747.985023,9099.960589,8416.907806,9130.273582,9577.558638,8039.679444,8133.986536,8289.593236,9037.313737,9256.240911,9684.664548,10125.88701,10915.37208,12321.85157,12061.10724,12294.38111,12695.61084,12988.86969,13623.76878,14434.82729,15447.8887,15832.70092,16362.86148,17393.14253,18607.34845,19866.86861,21151.66787,22905.98588,24335.74237,24953.99368,26036.1869,26552.61857,27542.66363,29034.57138,30297.57631,31050.53192,32155.45926,33535.33927,34251.67043,34985.23662,33360.28751,34250.88291,35898.45112,36976.8406
14,22008,Gross Domestic Product,6110,Value US$,million USD,Barbados,217.984527,245.022768,280.300467,341.996846,408.931502,480.68117,521.708283,593.439439,664.15525,805.28824,1033.561744,1137.545044,1188.551211,1261.835248,1375.374738,1439.341489,1580.355027,1740.242042,1851.034127,2046.876309,2054.70044,2038.240621,1970.028303,2077.925952,2184.662326,2297.053607,2449.281689,2588.836721,2919.042911,3058.799903,3152.105872,3147.208319,3200.677486,3306.959448,3548.807712,3935.512483,4217.45,4674.01,4785.25,4465.5,4531.15,4656.4,4613.85,4685.55,4707.6,4734,4843.3,4992.3,5110.25,5341.1,4738.8,4923.1,5699.95,6154.19542
14,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Barbados,2635.984769,2739.123536,2774.01451,2811.205735,2680.461019,2787.817485,2909.372209,3015.337532,3162.393713,3412.001706,3561.210752,3492.523278,3320.294118,3337.161922,3455.680442,3492.967167,3670.966892,3765.071485,3895.131134,4035.400244,3902.233367,3749.535349,3487.640492,3530.253893,3663.864658,3737.99422,3886.253342,4070.467521,4222.72165,4236.482227,4425.135302,4320.377359,4354.556857,4449.10534,4511.693772,4690.581275,4956.466823,5065.611345,5099.346924,4842.570076,4732.537777,4697.131085,4682.769964,4621.931032,4621.87881,4734,4854.006751,4876.462323,4833.953404,4846.695635,4229.324089,4196.215177,4671.80329,4900.721651
16,22008,Gross Domestic Product,6110,Value US$,million USD,Bangladesh,6195.774654,5577.824265,6211.617337,6769.905343,8086.909309,8474.735042,9447.322262,9949.540465,12750.95717,14758.22542,16729.23379,16967.80819,15443.05092,15760.53089,18474.00354,19169.04707,20219.80792,22974.3972,24814.78242,26954.55185,28136.57139,30066.7224,30690.54496,31685.28928,33674.74345,37866.02974,39795.9827,41169.35276,42676.52039,44758.11545,45469.58606,45432.92319,47194.75539,51690.43736,55949.96247,57628.09748,69971.61988,81280.47431,95017.38594,107811.7503,123085.0424,135176.7052,143650.0931,174188.7981,199959.0542,228784.5162,263919.3611,288937.5846,316152.0878,349390.9564,373446.3448,414757.6888,432677.1963,414919.0226
16,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Bangladesh,32654.18809,30864.90739,26551.92897,27434.96121,30066.51071,28837.32738,30469.91264,31284.39048,33497.3975,35105.82013,35393.3866,36594.77771,37044.94939,38857.76924,40966.03694,42199.88687,44031.26944,45872.40002,47198.545,48387.80294,51594.69278,53348.81713,55604.03099,58147.75563,60522.91057,63503.63815,66438.82795,70018.33744,73678.5367,77266.03528,81859.35965,86176.26168,89981.42288,94710.84131,100649.6874,106643.8978,113713.6787,123958.6365,133807.8601,143119.92,153847.548,166777.509,180891.064,195263.6007,210872.471,228784.5162,249524.5901,265978.9535,285465.4972,307968.6755,318590.5395,340699.2163,364956.5377,385029.1473
17,22008,Gross Domestic Product,6110,Value US$,million USD,Bermuda,265.53611,300.883912,335.519057,384.122285,445.553344,491.733538,550.599032,597.643786,646.44254,751.525864,902.432407,986.968887,1101.104098,1226.38973,1291.037116,1428.256203,1585.802885,1735.769786,1854.571887,1966.357992,2034.951875,2114.195038,2150.214657,2290.22135,2382.30629,2556.766532,2714,2932.715906,3130.46,3324.9,3480.218951,3680.483,3937.228,4186.525,4484.702566,4868.135685,5368.123,6085.08898,6578.290955,6524.29266,6635.88,6313.98,6379.51,6465.76,6415.24,6655.66,6901.32,7120.91,7227.42,7423.46,6887.15,7286.59,7546,7807.641602
17,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Bermuda,3020.198589,3124.017917,3180.64664,3227.837243,3256.151606,3378.847174,3680.867032,3774.340119,3850.777343,4103.625404,4259.638037,4109.677618,4113.488272,4149.129089,4064.622245,4237.222429,4425.065227,4601.027752,4661.774049,4667.602108,4544.092106,4555.972378,4431.789909,4539.160673,4610.890618,4859.70387,5047.99498,5280.492906,5486.951065,5672.949406,5842.207897,6264.088336,6171.518523,6382.010635,6532.48883,6641.867611,6947.804631,7406.963325,7729.790753,7501.545352,7545.2367,7262.832745,6877.529123,6858.298415,6604.480647,6655.66,6611.969274,6850.756752,6821.109853,6841.974057,6373.775794,6719.192404,6754.932033,6874.5625
