# File: A_demand_base_food_prices.csv
# Title: Base Year Food Prices
# Units: 2005$/Mcal/day
# Description: Base year staple and nonstaple prices
# Source: GCAM Output
# Column types: ccccnn
# ----------
Units,region,nodeinput,input,year,value
2005$/Mcal/day,Norway,FoodDemand,FoodDemand_Staples,2005,0.0330535
2005$/Mcal/day,Pakistan,FoodDemand,FoodDemand_NonStaples,2005,0.18058
2005$/Mcal/day,Pakistan,FoodDemand,FoodDemand_Staples,2005,0.0311945
2005$/Mcal/day,Poland,FoodDemand,FoodDemand_NonStaples,2005,0.209327
2005$/Mcal/day,Poland,FoodDemand,FoodDemand_Staples,2005,0.0377145
2005$/Mcal/day,Portugal,FoodDemand,FoodDemand_NonStaples,2005,0.372198
2005$/Mcal/day,Portugal,FoodDemand,FoodDemand_Staples,2005,0.0381836
2005$/Mcal/day,Romania,FoodDemand,FoodDemand_NonStaples,2005,0.299988
2005$/Mcal/day,Romania,FoodDemand,FoodDemand_Staples,2005,0.031584
2005$/Mcal/day,Russia,FoodDemand,FoodDemand_NonStaples,2005,0.255675
2005$/Mcal/day,Russia,FoodDemand,FoodDemand_Staples,2005,0.0233527
2005$/Mcal/day,Serbia and Montenegro,FoodDemand,FoodDemand_NonStaples,2005,0.257772
2005$/Mcal/day,Serbia and Montenegro,FoodDemand,FoodDemand_Staples,2005,0.0254408
2005$/Mcal/day,Slovakia,FoodDemand,FoodDemand_NonStaples,2005,0.166343
2005$/Mcal/day,Slovakia,FoodDemand,FoodDemand_Staples,2005,0.0326508
2005$/Mcal/day,Slovenia,FoodDemand,FoodDemand_NonStaples,2005,0.254249
2005$/Mcal/day,Slovenia,FoodDemand,FoodDemand_Staples,2005,0.030706
2005$/Mcal/day,South Africa,FoodDemand,FoodDemand_NonStaples,2005,0.253743
2005$/Mcal/day,South Africa,FoodDemand,FoodDemand_Staples,2005,0.0235381
2005$/Mcal/day,South America_Northern,FoodDemand,FoodDemand_NonStaples,2005,0.533877
2005$/Mcal/day,South America_Northern,FoodDemand,FoodDemand_Staples,2005,0.0708302
2005$/Mcal/day,South America_Southern,FoodDemand,FoodDemand_NonStaples,2005,0.302552
2005$/Mcal/day,South America_Southern,FoodDemand,FoodDemand_Staples,2005,0.0366687
2005$/Mcal/day,South Asia,FoodDemand,FoodDemand_NonStaples,2005,0.229935
2005$/Mcal/day,South Asia,FoodDemand,FoodDemand_Staples,2005,0.0307314
2005$/Mcal/day,South Korea,FoodDemand,FoodDemand_NonStaples,2005,1.16508
2005$/Mcal/day,South Korea,FoodDemand,FoodDemand_Staples,2005,0.140474
2005$/Mcal/day,Southeast Asia,FoodDemand,FoodDemand_NonStaples,2005,0.317209
2005$/Mcal/day,Southeast Asia,FoodDemand,FoodDemand_Staples,2005,0.0351824
2005$/Mcal/day,Spain,FoodDemand,FoodDemand_NonStaples,2005,0.286984
2005$/Mcal/day,Spain,FoodDemand,FoodDemand_Staples,2005,0.0360565
2005$/Mcal/day,Sweden,FoodDemand,FoodDemand_NonStaples,2005,0.260691
2005$/Mcal/day,Sweden,FoodDemand,FoodDemand_Staples,2005,0.0407044
2005$/Mcal/day,Switzerland,FoodDemand,FoodDemand_NonStaples,2005,0.293964
2005$/Mcal/day,Switzerland,FoodDemand,FoodDemand_Staples,2005,0.0459039
2005$/Mcal/day,Taiwan,FoodDemand,FoodDemand_NonStaples,2005,0.352511
2005$/Mcal/day,Taiwan,FoodDemand,FoodDemand_Staples,2005,0.0362118
2005$/Mcal/day,Turkey,FoodDemand,FoodDemand_NonStaples,2005,0.227091
2005$/Mcal/day,Turkey,FoodDemand,FoodDemand_Staples,2005,0.0252785
2005$/Mcal/day,UK,FoodDemand,FoodDemand_NonStaples,2005,0.259762
2005$/Mcal/day,UK,FoodDemand,FoodDemand_Staples,2005,0.0391151
2005$/Mcal/day,USA,FoodDemand,FoodDemand_NonStaples,2005,0.276844
2005$/Mcal/day,USA,FoodDemand,FoodDemand_Staples,2005,0.0293866
2005$/Mcal/day,Ukraine,FoodDemand,FoodDemand_NonStaples,2005,0.193796
2005$/Mcal/day,Ukraine,FoodDemand,FoodDemand_Staples,2005,0.0302617
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand_NonStaples,2010,0.271104
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand_Staples,2010,0.0401083
