# File: CO2byTech.csv,,,,,,,,,
# Title: CO2 by tech used for GDP intensity policies,,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors;resource emissions added here with repeat subsector column in tech column,,,,,,,,,
# Units: MTC,,,,,,,,,
# Column types: ccccnnnnnc,,,,,,,,,
# ----------,,,,,,,,,
region,sector,subsector,technology,1990,2005,2010,2015,2021,Units
China,process heat food processing,refined liquids,refined liquids,0.396247,1.32914,1.2611,0.732629,0.281422,MTC
China,process heat food processing,refined liquids,refined liquids cogen,0,0,0,0,0,MTC
China,process heat paper,coal,coal,8.00061,14.0424,18.4023,10.1101,3.07062,MTC
China,process heat paper,gas,gas,0.0112933,0.0350696,0.111155,0.50822,1.27144,MTC
China,process heat paper,gas,gas cogen,0,0,0,0,0,MTC
China,process heat paper,refined liquids,refined liquids,0.223985,0.608776,0.557092,0.268288,0.185423,MTC
China,process heat paper,refined liquids,refined liquids cogen,0,0,0,0,0,MTC
China,refining,biomass liquids,BTL with hydrogen,0,0,0,0,0,MTC
China,refining,biomass liquids,FT biofuels,0,0,0,0,0,MTC
China,refining,biomass liquids,biodiesel,0,0.00262366,0.0332734,0.0422176,0.0859861,MTC
China,refining,biomass liquids,cellulosic ethanol,0,0,0,0,0,MTC
China,refining,biomass liquids,corn ethanol,0,0.123428,0.222661,0.27823,0.35365,MTC
China,refining,coal to liquids,coal to liquids,0,0,1.05618,3.19083,16.6536,MTC
China,refining,gas to liquids,gas to liquids,0,0,0,0,0,MTC
China,refining,oil refining,oil refining,6.37532,14.4805,33.2117,45.8972,57.6809,MTC
China,regional biomass,regional biomass,regional biomass,-1.24E-02,-6.64859,-21.4167,-32.2335,-67.3906,MTC
China,regional biomassOil,regional biomassOil,Soybean,0,-0.0372135,-0.471944,-0.598808,-1.21961,MTC
China,regional corn for ethanol,regional corn for ethanol,regional corn for ethanol,0,-0.53574,-0.966462,-1.20766,-1.53502,MTC
China,regional woodpulp for energy,regional woodpulp for energy,regional woodpulp for energy,-4.94223,-6.32329,-7.72296,-6.14482,-6.51034,MTC
China,resid heating coal_d1,coal,coal,10.8865,8.39595,8.03926,8.02097,4.86309,MTC
China,resid heating coal_d10,coal,coal,1.35686,0.653426,0.525426,0.644736,0.395136,MTC
China,resid heating coal_d2,coal,coal,7.55519,5.40307,5.17353,5.11896,3.03147,MTC
China,resid heating coal_d3,coal,coal,6.28171,4.22353,3.97718,3.95566,2.37531,MTC
China,resid heating coal_d4,coal,coal,5.49288,3.47576,3.20566,3.23247,1.96458,MTC
China,resid heating coal_d5,coal,coal,4.88879,2.92494,2.63476,2.70938,1.66168,MTC
China,resid heating coal_d6,coal,coal,4.37613,2.47334,2.18097,2.29079,1.4144,MTC
China,resid heating coal_d7,coal,coal,3.89074,2.07262,1.79495,1.92649,1.19396,MTC
China,resid heating coal_d8,coal,coal,3.38503,1.69924,1.45566,1.58863,0.984856,MTC
China,resid heating coal_d9,coal,coal,2.72274,1.30758,1.10896,1.23408,0.761194,MTC
China,resid heating modern_d1,gas,gas,0.0110108,6.20E-02,1.33E-01,2.34E-01,0.355821,MTC
China,resid heating modern_d1,refined liquids,refined liquids,0.00817999,0.0419373,0.0485508,0.0988804,0.101269,MTC
China,resid heating modern_d10,gas,gas,0.233695,1.45766,3.38347,3.9759,5.75744,MTC
China,resid heating modern_d10,refined liquids,refined liquids,0.173614,0.985712,1.23955,1.68163,1.6386,MTC
China,resid heating modern_d2,gas,gas,0.0192218,0.110038,0.231838,0.402413,0.633097,MTC
China,resid heating modern_d2,refined liquids,refined liquids,0.0142801,0.0744105,0.0849354,0.170202,0.180183,MTC
China,resid heating modern_d3,gas,gas,0.0254373,0.15125,0.322598,0.547316,0.847366,MTC
China,resid heating modern_d3,refined liquids,refined liquids,0.0188976,0.102279,0.118186,0.23149,0.241165,MTC
China,resid heating modern_d4,gas,gas,0.0311502,0.194177,0.421884,0.694411,1.05954,MTC
China,resid heating modern_d4,refined liquids,refined liquids,0.0231417,0.131308,0.15456,0.293704,0.301552,MTC
China,resid heating modern_d5,gas,gas,0.0371072,0.241844,0.537158,0.853015,1.2867,MTC
China,resid heating modern_d5,refined liquids,refined liquids,0.0275673,0.163542,0.196791,0.360786,0.366203,MTC
China,resid heating modern_d6,gas,gas,0.0437853,0.298832,0.676234,1.03479,1.54675,MTC
China,resid heating modern_d6,refined liquids,refined liquids,0.0325285,0.202078,0.247742,0.437669,0.440215,MTC
China,resid heating modern_d7,gas,gas,0.0521355,0.372674,0.854741,1.25959,1.87084,MTC
China,resid heating modern_d7,refined liquids,refined liquids,0.038732,0.252013,0.31314,0.532749,0.532453,MTC
China,resid heating modern_d8,gas,gas,0.0640076,0.476193,1.09541,1.56189,2.31151,MTC
China,resid heating modern_d8,refined liquids,refined liquids,0.0475519,0.322015,0.401309,0.660609,0.657869,MTC
China,resid heating modern_d9,gas,gas,0.0878859,0.654237,1.50122,2.05585,3.0404,MTC
China,resid heating modern_d9,refined liquids,refined liquids,0.0652913,0.442413,0.549982,0.86953,0.865317,MTC
China,resid others coal_d1,coal,coal,11.4168,8.88788,8.49902,8.45178,5.14029,MTC
China,resid others coal_d10,coal,coal,0.655447,0.28909,0.221886,0.295762,0.181929,MTC
China,resid others coal_d2,coal,coal,6.89812,4.90945,4.70395,4.64182,2.73257,MTC
China,resid others coal_d3,coal,coal,5.34843,3.52432,3.30601,3.29163,1.97302,MTC
China,resid others coal_d4,coal,coal,4.44582,2.71176,2.4763,2.51525,1.5316,MTC
China,resid others coal_d5,coal,coal,3.78709,2.15044,1.90439,1.98837,1.22521,MTC
China,resid others coal_d6,coal,coal,3.25186,1.71669,1.47885,1.59041,0.988582,MTC
China,resid others coal_d7,coal,coal,2.76672,1.3541,1.13982,1.26322,0.789007,MTC
China,resid others coal_d8,coal,coal,2.28532,1.03743,0.861617,0.977663,0.61079,MTC
China,resid others coal_d9,coal,coal,1.69565,0.730367,0.599408,0.699152,0.433798,MTC
China,resid others modern_d1,biomass,biomass,2.30E-05,1.79E-05,1.87E-05,2.91E-05,5.44E-05,MTC
China,resid others modern_d1,gas,gas,0.00932669,0.0537128,0.118298,0.210304,0.328625,MTC
China,resid others modern_d1,refined liquids,refined liquids,0.0372697,0.195373,0.233118,0.478449,0.503081,MTC
China,resid others modern_d10,biomass,biomass,4.83E-04,3.98E-04,4.28E-04,4.34E-04,7.32E-04,MTC
China,resid others modern_d10,gas,gas,0.195655,1.1966,2.70323,3.13953,4.42149,MTC
China,resid others modern_d10,refined liquids,refined liquids,0.781841,4.35246,5.32697,7.14252,6.76871,MTC
China,resid others modern_d2,biomass,biomass,4.02E-05,3.16E-05,3.26E-05,4.97E-05,9.57E-05,MTC
China,resid others modern_d2,gas,gas,0.0162718,0.0950769,0.206067,0.359534,0.578435,MTC
China,resid others modern_d2,refined liquids,refined liquids,0.0650227,0.345829,0.406074,0.81795,0.885507,MTC
China,resid others modern_d3,biomass,biomass,5.31E-05,4.34E-05,4.53E-05,6.73E-05,1.27E-04,MTC
China,resid others modern_d3,gas,gas,0.0215242,0.130436,0.285683,0.486278,0.768086,MTC
China,resid others modern_d3,refined liquids,refined liquids,0.0860111,0.474443,0.562965,1.1063,1.17584,MTC
China,resid others modern_d4,biomass,biomass,6.50E-05,5.56E-05,5.90E-05,8.49E-05,1.58E-04,MTC
China,resid others modern_d4,gas,gas,0.0263482,0.167136,0.372165,0.61359,0.9531,MTC
China,resid others modern_d4,refined liquids,refined liquids,0.105288,0.607933,0.733387,1.39593,1.45907,MTC
China,resid others modern_d5,biomass,biomass,7.74E-05,6.91E-05,7.47E-05,1.04E-04,1.90E-04,MTC
China,resid others modern_d5,gas,gas,0.0313752,0.207739,0.471802,0.749386,1.1482,MTC
China,resid others modern_d5,refined liquids,refined liquids,0.125376,0.75562,0.92973,1.70488,1.75773,MTC
China,resid others modern_d6,biomass,biomass,9.13E-05,8.51E-05,9.36E-05,1.25E-04,2.26E-04,MTC
China,resid others modern_d6,gas,gas,0.0370065,0.25608,0.590941,0.903182,1.36784,MTC
China,resid others modern_d6,refined liquids,refined liquids,0.147879,0.931453,1.16451,2.05477,2.09399,MTC
China,resid others modern_d7,biomass,biomass,1.09E-04,1.06E-04,1.18E-04,1.51E-04,2.71E-04,MTC
China,resid others modern_d7,gas,gas,0.0440422,0.318402,0.742201,1.09073,1.6362,MTC
China,resid others modern_d7,refined liquids,refined liquids,0.175994,1.15814,1.46258,2.48143,2.5048,MTC
China,resid others modern_d8,biomass,biomass,1.33E-04,1.35E-04,1.49E-04,1.85E-04,3.30E-04,MTC
China,resid others modern_d8,gas,gas,0.0540347,0.40519,0.943268,1.3384,1.9917,MTC
China,resid others modern_d8,refined liquids,refined liquids,0.215924,1.47382,1.8588,3.04491,3.04903,MTC
China,resid others modern_d9,biomass,biomass,1.83E-04,1.84E-04,2.02E-04,2.40E-04,4.23E-04,MTC
China,resid others modern_d9,gas,gas,0.0740965,0.552916,1.27512,1.7322,2.55669,MTC
China,resid others modern_d9,refined liquids,refined liquids,0.296092,2.01115,2.51274,3.94081,3.91395,MTC
China,trn_aviation_intl,International Aviation,Liquids,1.6653,5.72056,7.39302,9.90299,8.88236,MTC
China,trn_freight,Domestic Ship,Hybrid Liquids,0,0,0,0,0,MTC
China,trn_freight,Domestic Ship,Liquids,2.05871,11.4574,13.2134,17.1785,20.7289,MTC
China,trn_freight,Freight Rail,Coal,7.49058,0,0,0.00342874,0,MTC
China,trn_freight,Freight Rail,Hybrid Liquids,0,0,0,0,0,MTC
China,trn_freight,Freight Rail,Liquids,1.34639,7.3983,10.5391,15.0926,16.8464,MTC
China,trn_freight_road,Heavy truck,Hybrid Liquids,0,0,0,0,0,MTC
China,trn_freight_road,Heavy truck,Liquids,2.17353,11.6367,16.5426,23.6546,26.3832,MTC
China,trn_freight_road,Light truck,Hybrid Liquids,0,0,0,0,0,MTC
China,trn_freight_road,Light truck,Liquids,3.91268,21.4232,30.5094,43.6825,48.7534,MTC
China,trn_freight_road,Light truck,NG,0,6.25E-05,2.85E-04,7.13E-04,0.00112311,MTC
China,trn_freight_road,Medium truck,Hybrid Liquids,0,0,0,0,0,MTC
China,trn_freight_road,Medium truck,Liquids,1.50446,6.79928,9.52196,13.4667,14.9354,MTC
China,trn_pass,Domestic Aviation,Liquids,0.726448,6.4062,10.6309,16.5285,21.1755,MTC
China,trn_pass,Passenger Rail,Liquids,0.303671,1.64275,2.33726,3.34411,3.73101,MTC
China,trn_pass_road,Bus,Hybrid Liquids,0,0,0,0,0,MTC
China,trn_pass_road,Bus,Liquids,3.76182,20.1103,28.5851,40.871,45.5836,MTC
China,trn_pass_road,Bus,NG,0,0.682695,3.13575,7.82869,12.3405,MTC
China,trn_pass_road_LDV,2W and 3W,Liquids,2.03899,9.9861,14.0895,20.0366,22.285,MTC
China,trn_pass_road_LDV,2W and 3W,NG,0,0,0,0,1.42E-06,MTC
China,trn_pass_road_LDV_4W,Car,Hybrid Liquids,0,0,0,0,0,MTC
China,trn_pass_road_LDV_4W,Car,Liquids,1.65397,8.35142,11.8146,16.8342,18.742,MTC
China,trn_pass_road_LDV_4W,Car,NG,0,0.0981281,0.45072,1.12526,1.77378,MTC
China,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,0,0,0,0,0,MTC
China,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,0.531088,2.69216,3.80982,5.4298,6.04594,MTC
China,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,1.42E-06,MTC
China,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,0,0,0,0,0,MTC
China,trn_pass_road_LDV_4W,Mini Car,Liquids,0.439718,2.20445,3.11666,4.43882,4.94074,MTC
China,trn_pass_road_LDV_4W,Mini Car,NG,0,0.0928464,0.426464,1.06471,1.67832,MTC
China,trn_shipping_intl,International Ship,Hybrid Liquids,0,0,0,0,0,MTC
China,trn_shipping_intl,International Ship,Liquids,3.71502,12.7595,25.9781,27.8083,31.4898,MTC
