# File: OutputsByTech.csv,,,,,,,,,,
# Title: Outputs by tech used for GDP intensity policies,,,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors,,,,,,,,,,
# Updated August 17th with IAMCOMPACT reference scenario,,,,,,,,,,
# Units: EJ,,,,,,,,,,
# Column types: cccccnnnnnc,,,,,,,,,,
# ----------,,,,,,,,,,
region,sector,subsector,output,technology,1990,2005,2010,2015,2021,Units
China,construction energy use,stationary,construction energy use,coal,0.0747687,0.112961,0.1336,0.163561,0.0837512,EJ
China,construction energy use,stationary,construction energy use,electricity,0.0224403,0.0824127,0.171493,0.249441,0.407758,EJ
China,construction energy use,stationary,construction energy use,gas,0.0314861,0.00452611,0.00353661,0.00664477,0.00995411,EJ
China,construction energy use,stationary,construction energy use,heat,8.79E-04,0.0046465,0.0066139,0.0090418,0.0201765,EJ
China,construction energy use,stationary,construction energy use,hydrogen,0,0,0,0,0,EJ
China,construction energy use,stationary,construction energy use,refined liquids,0.0146294,0.0334773,0.0489244,0.0590944,0.0565983,EJ
Russia,construction energy use,mobile,construction energy use,electricity,0,0,0,0,0,EJ
Russia,construction energy use,mobile,construction energy use,hydrogen,0,0,0,0,0,EJ
Russia,construction energy use,mobile,construction energy use,refined liquids,0.241293,0.0238468,0.0223024,0.0364009,0.0894149,EJ
Russia,construction energy use,stationary,construction energy use,biomass,0,1.31E-04,1.65E-04,6.64E-05,2.01E-04,EJ
Russia,construction energy use,stationary,construction energy use,coal,2.43E-04,8.51E-04,0.00189025,0.0024423,4.34E-04,EJ
Russia,construction energy use,stationary,construction energy use,electricity,0.0647519,0.0332765,0.0413565,0.0433522,0.0453344,EJ
Russia,construction energy use,stationary,construction energy use,gas,0.0152994,0.0138318,0.0230428,0.0830041,0.113048,EJ
Russia,construction energy use,stationary,construction energy use,heat,0,0.041274,0.0579342,0.0279625,0.0180417,EJ
Russia,construction energy use,stationary,construction energy use,hydrogen,0,0,0,0,0,EJ
Russia,construction energy use,stationary,construction energy use,refined liquids,0.0603232,0.00596175,0.00557559,0.00910027,0.0223538,EJ
Australia_NZ,construction feedstocks,refined liquids,construction feedstocks,refined liquids,0.0311857,0.0380089,0.0402693,0.0289671,0.0064464,EJ
China,construction feedstocks,refined liquids,construction feedstocks,refined liquids,0.0672891,0.27756,6.47E-01,0.952396,1.44531,EJ
Russia,construction feedstocks,refined liquids,construction feedstocks,refined liquids,0.138305,0.194398,0.17104,0.240234,0.261499,EJ
Australia_NZ,delivered biomass,delivered biomass,delivered biomass,delivered biomass,4.19E-05,0.0010884,0.0010465,0.0015488,0.0028883,EJ
China,delivered biomass,delivered biomass,delivered biomass,delivered biomass,5.18E-04,0.020315,0.047149,0.0616011,0.0660458,EJ
Russia,delivered biomass,delivered biomass,delivered biomass,delivered biomass,0.197572,0.123237,0.141239,0.132285,0.155259,EJ
Australia_NZ,delivered biomass industry,delivered biomass industry,delivered biomass industry,delivered biomass industry,0.0966294,0.132604,0.144654,0.15393,0.139602,EJ
China,delivered biomass industry,delivered biomass industry,delivered biomass industry,delivered biomass industry,1.42E-05,1.52E-05,5.10E-06,3.19E-04,5.89E-04,EJ
Russia,delivered biomass industry,delivered biomass industry,delivered biomass industry,delivered biomass industry,0.0433171,0.109233,0.0961065,0.129133,0.22524,EJ
Australia_NZ,delivered coal,delivered coal,delivered coal,delivered coal,0.0140229,0.0127672,0.00636259,0.00163272,9.21E-04,EJ
China,delivered coal,delivered coal,delivered coal,delivered coal,5.24117,3.62882,3.85594,4.26475,2.3613,EJ
Russia,delivered coal,delivered coal,delivered coal,delivered coal,3.37346,9.02E-01,7.33E-01,5.84E-01,0.622503,EJ
China,delivered coal feedstocks,delivered coal feedstocks,delivered coal feedstocks,delivered coal feedstocks,0.555981,0.459425,0.680089,1.46492,1.54433,EJ
Russia,delivered coal feedstocks,delivered coal feedstocks,delivered coal feedstocks,delivered coal feedstocks,0,2.86E-02,0.011344,0.0077022,0.0097952,EJ
Australia_NZ,delivered coal industry,delivered coal industry,delivered coal industry,delivered coal industry,0.285067,0.263132,0.276568,0.215956,0.23794,EJ
China,delivered coal industry,delivered coal industry,delivered coal industry,delivered coal industry,9.35253,23.4574,34.1505,35.601,27.5858,EJ
Russia,delivered coal industry,delivered coal industry,delivered coal industry,delivered coal industry,2.17052,1.4849,1.61705,2.13729,2.46442,EJ
Australia_NZ,delivered gas,delivered gas,delivered gas,delivered gas,0.119437,0.170121,0.186189,0.21272,0.203781,EJ
China,delivered gas,delivered gas,delivered gas,delivered gas,0.0984628,0.691841,1.43967,2.05404,3.0013,EJ
Russia,delivered gas,delivered gas,delivered gas,delivered gas,2.38221,1.76306,1.81936,1.86269,3.19961,EJ
Australia_NZ,delivered gas h2,delivered gas h2,delivered gas h2,delivered gas h2,0,0,0,0,0,EJ
