# File: policy_tech_mappings.csv,,,
# Title: Policy technology mapping,,,
# Units: NA,,,
# Column types: cccc,,,
# ----------,,,
tech_mapping,supplysector,subsector,stub.technology
EN_CARRIER_ELEC,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (recirculating)
EN_CARRIER_ELEC,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling)
EN_CARRIER_ELEC_NF,electricity,hydro,hydro
EN_CARRIER_ELEC_NF,electricity,wind,wind
EN_CARRIER_ELEC_NF,electricity,wind,wind_offshore
EN_CARRIER_ELEC_NF,electricity,wind,wind_storage
EN_CARRIER_ELEC_NF,electricity,solar,PV
EN_CARRIER_ELEC_NF,electricity,solar,PV_storage
EN_CARRIER_ELEC_NF,elec_geothermal,geothermal,geothermal (recirculating)
EN_CARRIER_ELEC_NF,elec_geothermal,geothermal,geothermal (dry_hybrid)
EN_CARRIER_ELEC_NF,elec_CSP,CSP,CSP (recirculating)
EN_CARRIER_ELEC_NF,elec_CSP,CSP,CSP (dry_hybrid)
EN_CARRIER_ELEC_NF,elec_CSP_storage,CSP_storage,CSP_storage (recirculating)
EN_CARRIER_ELEC_NF,elec_CSP_storage,CSP_storage,CSP_storage (dry_hybrid)
EN_CARRIER_ELEC_NF,elec_biomass (conv),biomass (conv),biomass (conv) (once through)
EN_CARRIER_ELEC_NF,elec_biomass (conv),biomass (conv),biomass (conv) (seawater)
EN_CARRIER_ELEC_NF,elec_biomass (conv),biomass (conv),biomass (conv) (recirculating)
EN_CARRIER_ELEC_NF,elec_biomass (conv),biomass (conv),biomass (conv) (cooling pond)
EN_CARRIER_ELEC_NF,elec_biomass (conv),biomass (conv),biomass (conv) (dry cooling)
EN_CARRIER_ELEC_NF,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (once through)
EN_CARRIER_ELEC_NF,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (seawater)
EN_CARRIER_ELEC_NF,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (recirculating)
EN_CARRIER_ELEC_NF,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (dry cooling)
EN_CARRIER_ELEC_NF,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (once through)
